time_s,q_ref_1,q_ref_2,q_ref_3,q_ref_4,q_ref_5,q_ref_6,q_1,q_2,q_3,q_4,q_5,q_6,dq_ref_1,dq_ref_2,dq_ref_3,dq_ref_4,dq_ref_5,dq_ref_6,dq_1,dq_2,dq_3,dq_4,dq_5,dq_6,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6,tcp_ref_x,tcp_ref_y,tcp_ref_z,tcp_x,tcp_y,tcp_z
0.0,-0.563240535,0.366789142,-1.478928536,-1.164781342,0.620174944,1.084781928,-0.563240535,0.366789142,-1.478928536,-1.164781342,0.620174944,1.084781928,5.281e-05,-4.8551e-05,-8.9193e-05,9.4727e-05,-3.0643e-05,-9.8787e-05,5.281e-05,-4.8551e-05,-8.9193e-05,9.4727e-05,-3.0643e-05,-9.8787e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.6021814399663656,-0.2513775220279353,0.5056386692056379,0.6021814399663656,-0.2513775220279353,0.5056386692056379
0.001,-0.563240482,0.366789093,-1.478928625,-1.164781248,0.620174913,1.084781829,-0.5632404821899973,0.3667890934490033,-1.4789286251929938,-1.1647812472729915,0.6201749133570018,1.0847818292129945,0.000108722,-0.00010057,-0.000180642,0.000190386,-6.4508e-05,-0.000197684,5.2810002668800996e-05,-4.8550996709468846e-05,-8.919299397148613e-05,9.472700853639451e-05,-3.06429981126367e-05,-9.878700553113549e-05,0.0011182589463590985,-0.0010404249661385232,-0.0014631686569487718,0.0001913034427581422,-1.6936070961296513e-05,-7.912398541041914e-06,0.6021814397600295,-0.25137747315667336,0.5056386688505241,0.6021814398076809,-0.25137747321166315,0.5056386685678932
0.002,-0.563240317,0.36678894,-1.478928897,-1.164780961,0.620174815,1.084781532,-0.5632404294895436,0.3667890427098327,-1.478928720122907,-1.1647811451776315,0.6201748821927843,1.0847817047794117,0.000219512,-0.000203454,-0.000362789,0.000381393,-0.000131163,-0.000395443,5.27004537469871e-05,-5.073917060368127e-05,-9.49299132602674e-05,0.00010209535987388327,-3.1164217508037516e-05,-0.00012443358272443828,0.0033474798794171485,-0.003064567571195819,-0.004299895555273499,0.0005622788328840392,-5.067131908823636e-05,-2.2199091617045407e-05,0.6021814393792567,-0.25137732198704765,0.5056386696674143,0.6021814389985758,-0.25137742323394197,0.5056386674916635
0.003,-0.563240043,0.366788686,-1.478929351,-1.164780485,0.620174651,1.084781038,-0.563240377054151,0.36678898553993755,-1.4789288318925526,-1.164781021613675,0.620174849320124,1.0847815074889486,0.000329268,-0.00030518,-0.000544183,0.00057209,-0.000196745,-0.000593164,5.243539258729346e-05,-5.7169895163239406e-05,-0.00011176964552714112,0.00012356395670013874,-3.28726602893311e-05,-0.00019729046306239857,0.005570057563354905,-0.004990156090492815,-0.006960142267345735,0.0009077843600962946,-8.391937109523127e-05,-3.307834980082841e-05,0.6021814383570703,-0.25137707089418126,0.5056386698071197,0.6021814362806839,-0.2513773698397219,0.505638665107904
0.004,-0.563239659,0.36678833,-1.478929985,-1.164779817,0.620174421,1.084780346,-0.5632403249011473,0.3667889179511916,-1.4789289708753661,-1.1647808638355366,0.6201748132664459,1.084781199103315,0.000439025,-0.000406907,-0.000725576,0.000762788,-0.000262326,-0.000790886,5.215300367619994e-05,-6.758874594136219e-05,-0.0001389828133791707,0.0001577781382477677,-3.6053678133275874e-05,-0.0003083856337347048,0.007804030041209423,-0.006845160200334937,-0.009466620956639242,0.0012309564342340225,-0.00011705882539217291,-4.115933924586221e-05,0.6021814373372358,-0.25137671916478166,0.5056386711319427,0.6021814304729672,-0.2513773109058667,0.505638660557787
0.005,-0.563239165,0.366787872,-1.478930802,-1.164778959,0.620174126,1.084779456,-0.5632402729131406,0.3667888361663791,-1.4789291468176247,-1.1647806603200805,0.6201747722546052,1.0847807488555252,0.000548781,-0.000508633,-0.00090697,0.000953486,-0.000327908,-0.000988608,5.198800668926032e-05,-8.178481254917997e-05,-0.00017594225858602385,0.00020351545599380102,-4.101184070363129e-05,-0.00045024778978388095,0.010046651180271128,-0.008633380386923338,-0.011828858452654169,0.0015339674896242732,-0.00014991062569981757,-4.6947383393199535e-05,0.6021814357030728,-0.251376266557435,0.5056386721240013,0.6021814204591394,-0.25137724442178533,0.505638652987418
0.006,-0.563238561,0.366787313,-1.478931799,-1.16477791,0.620173765,1.084778369,-0.5632402208511348,0.36678873660614186,-1.4789293688811729,-1.1647804006530988,0.6201747242493422,1.0847801322129886,0.000658538,-0.000610358,-0.001088362,0.001144185,-0.000393489,-0.001186331,5.206200586798246e-05,-9.956023722822315e-05,-0.00022206354812021238,0.0002596669816726645,-4.800526297903085e-05,-0.0006166425365219642,0.012295504996116447,-0.010358315869621468,-0.014055184736241164,0.0018188490986321593,-0.0001823343619322907,-5.086471604442006e-05,0.6021814341419793,-0.251375713478278,0.5056386735528605,0.602181405184851,-0.2513771684797997,0.5056386415510687
0.007,-0.563237848,0.366786652,-1.478932978,-1.164776671,0.620173339,1.084777084,-0.5632401683663025,0.3667886158774001,-1.4789296456812484,-1.1647800754266557,0.6201746669966951,1.0847793298367974,0.000768295,-0.000712083,-0.001269754,0.001334884,-0.00045907,-0.001384055,5.248483228297891e-05,-0.00012072874179364935,-0.00027680007554450154,0.00032522644317201554,-5.725264709338572e-05,-0.0008023761913313933,0.014548239984594818,-0.012023472904136086,-0.016153848291416237,0.002087403646769877,-0.0002141886434038595,-5.327181508575142e-05,0.6021814318674331,-0.25137506021999073,0.5056386751010326,0.602181383655326,-0.251377081266717,0.5056386254141966
0.008,-0.563237025,0.366785889,-1.478934339,-1.164775241,0.620172847,1.084775601,-0.563240115010944,0.36678847076192206,-1.4789299853231563,-1.1647796761451734,0.6201745980620209,1.0847783266865874,0.000878052,-0.000813807,-0.001451145,0.001525585,-0.000524651,-0.001581779,5.335535854061711e-05,-0.00014511547802244804,-0.00033964190787327543,0.0003992814824276419,-6.893467416893751e-05,-0.0010031502099781702,0.016802933923588344,-0.01363200663175929,-0.01813234362152397,0.0023413099386115693,-0.0002453687831249135,-5.446736296371763e-05,0.6021814292094916,-0.25137430620224116,0.5056386768250097,0.6021813549327085,-0.2513769810557763,0.5056386037559032
0.009,-0.563236092,0.366785024,-1.478935881,-1.16477362,0.62017229,1.08477392,-0.5632400602482636,0.3667882982059796,-1.478930395435472,-1.1647791951402982,0.6201745148617863,1.0847771112718043,0.000987809,-0.00091553,-0.001632535,0.001716287,-0.000590231,-0.001779504,5.47626803711745e-05,-0.00017255594248018525,-0.0004101123156334054,0.0004810048752848353,-8.320023462966252e-05,-0.0012154147830893054,0.01905775121893068,-0.015186901748352724,-0.019997608112101647,0.0025820670553920568,-0.0002757640005487648,-5.4700952765966425e-05,0.6021814263205436,-0.25137345143011375,0.5056386792252326,0.6021813181337056,-0.25137686619950245,0.5056385757710455
