time_s	q1_rad	q2_rad	q3_rad	q4_rad	q5_rad	q6_rad	dq1_rad_s	dq2_rad_s	dq3_rad_s	dq4_rad_s	dq5_rad_s	dq6_rad_s
0.000000000	-0.212847607	0.276685742	-1.629032023	-0.581638679	0.394670354	0.545525568	0.000030013	0.000020123	-0.000110254	0.000238693	0.000093366	-0.000247884
0.001000000	-0.212847577	0.276685762	-1.629032133	-0.581638441	0.394670447	0.545525320	0.000106647	0.000003423	-0.000162205	0.000455566	0.000083058	-0.000455532
0.002000000	-0.212847393	0.276685749	-1.629032347	-0.581637768	0.394670520	0.545524657	0.000244374	-0.000017702	-0.000285542	0.000896587	0.000097000	-0.000884240
0.003000000	-0.212847088	0.276685727	-1.629032704	-0.581636647	0.394670641	0.545523552	0.000366561	-0.000026553	-0.000428314	0.001344882	0.000145501	-0.001326362
0.004000000	-0.212846660	0.276685696	-1.629033204	-0.581635078	0.394670811	0.545522004	0.000488749	-0.000035404	-0.000571089	0.001793179	0.000194005	-0.001768485
0.005000000	-0.212846110	0.276685656	-1.629033847	-0.581633061	0.394671029	0.545520015	0.000610936	-0.000044256	-0.000713865	0.002241477	0.000242511	-0.002210610
0.006000000	-0.212845438	0.276685607	-1.629034632	-0.581630595	0.394671296	0.545517583	0.000733124	-0.000053108	-0.000856645	0.002689779	0.000291021	-0.002652737
0.007000000	-0.212844644	0.276685550	-1.629035560	-0.581627681	0.394671611	0.545514709	0.000855312	-0.000061960	-0.000999428	0.003138083	0.000339535	-0.003094868
0.008000000	-0.212843728	0.276685483	-1.629036631	-0.581624319	0.394671975	0.545511393	0.000977500	-0.000070812	-0.001142216	0.003586390	0.000388054	-0.003537002
0.009000000	-0.212842689	0.276685408	-1.629037844	-0.581620509	0.394672387	0.545507635	0.001099688	-0.000079665	-0.001285008	0.004034702	0.000436578	-0.003979140
0.010000000	-0.212841528	0.276685324	-1.629039201	-0.581616250	0.394672848	0.545503435	0.001221877	-0.000088518	-0.001427806	0.004483018	0.000485108	-0.004421283
0.011000000	-0.212840245	0.276685231	-1.629040700	-0.581611543	0.394673358	0.545498793	0.001344066	-0.000097372	-0.001570610	0.004931339	0.000533645	-0.004863430
0.012000000	-0.212838840	0.276685129	-1.629042342	-0.581606387	0.394673915	0.545493708	0.001466255	-0.000106226	-0.001713420	0.005379665	0.000582190	-0.005305584
0.013000000	-0.212837313	0.276685018	-1.629044127	-0.581600783	0.394674522	0.545488181	0.001588445	-0.000115081	-0.001856238	0.005827998	0.000630742	-0.005747743
0.014000000	-0.212835663	0.276684899	-1.629046054	-0.581594731	0.394675177	0.545482213	0.001710636	-0.000123936	-0.001999063	0.006276337	0.000679304	-0.006189909
0.015000000	-0.212833891	0.276684771	-1.629048125	-0.581588231	0.394675881	0.545475802	0.001832826	-0.000132792	-0.002141897	0.006724683	0.000727875	-0.006632082
0.016000000	-0.212831998	0.276684633	-1.629050338	-0.581581282	0.394676633	0.545468948	0.001955018	-0.000141649	-0.002284740	0.007173037	0.000776457	-0.007074263
0.017000000	-0.212829981	0.276684487	-1.629052694	-0.581573885	0.394677433	0.545461653	0.002077210	-0.000150507	-0.002427593	0.007621398	0.000825049	-0.007516452
0.018000000	-0.212827843	0.276684332	-1.629055193	-0.581566039	0.394678283	0.545453916	0.002199402	-0.000159365	-0.002570456	0.008069768	0.000873653	-0.007958649
0.019000000	-0.212825583	0.276684169	-1.629057835	-0.581557745	0.394679181	0.545445736	0.002321596	-0.000168225	-0.002713330	0.008518148	0.000922269	-0.008400856
0.020000000	-0.212823200	0.276683996	-1.629060620	-0.581549003	0.394680127	0.545437114	0.002443790	-0.000177085	-0.002856215	0.008966536	0.000970898	-0.008843072
0.021000000	-0.212820695	0.276683814	-1.629063548	-0.581539812	0.394681123	0.545428050	0.002565984	-0.000185946	-0.002999112	0.009414935	0.001019541	-0.009285298
0.022000000	-0.212818068	0.276683624	-1.629066618	-0.581530173	0.394682166	0.545418543	0.002688180	-0.000194808	-0.003142022	0.009863344	0.001068198	-0.009727535
0.023000000	-0.212815319	0.276683425	-1.629069832	-0.581520085	0.394683259	0.545408595	0.002810376	-0.000203672	-0.003284945	0.010311764	0.001116870	-0.010169783
