time_s	q1_rad	q2_rad	q3_rad	q4_rad	q5_rad	q6_rad	dq1_rad_s	dq2_rad_s	dq3_rad_s	dq4_rad_s	dq5_rad_s	dq6_rad_s
0.000000000	-0.215791916	0.277270711	-1.650223520	-0.560586932	0.414489641	0.521540654	-0.031677051	0.002144924	0.034686704	-0.107517377	-0.011782528	0.105379602
0.001000000	-0.215823592	0.277272856	-1.650188837	-0.560694449	0.414477865	0.521646034	-0.031675555	0.002145049	0.034680021	-0.107516246	-0.011770407	0.105379490
0.002000000	-0.215855267	0.277275001	-1.650154160	-0.560801965	0.414466100	0.521751413	-0.031674413	0.002144681	0.034670784	-0.107511063	-0.011757537	0.105374793
0.003000000	-0.215886941	0.277277145	-1.650119495	-0.560909471	0.414454350	0.521856784	-0.031673626	0.002143822	0.034658989	-0.107501822	-0.011743916	0.105365507
0.004000000	-0.215918614	0.277279289	-1.650084842	-0.561016969	0.414442613	0.521962144	-0.031672841	0.002142963	0.034647192	-0.107492570	-0.011730294	0.105356209
0.005000000	-0.215950286	0.277281431	-1.650050201	-0.561124457	0.414430889	0.522067496	-0.031672058	0.002142104	0.034635392	-0.107483309	-0.011716670	0.105346901
0.006000000	-0.215981958	0.277283573	-1.650015572	-0.561231935	0.414419179	0.522172838	-0.031671276	0.002141244	0.034623589	-0.107474038	-0.011703044	0.105337581
0.007000000	-0.216013629	0.277285714	-1.649980954	-0.561339405	0.414407483	0.522278171	-0.031670496	0.002140385	0.034611783	-0.107464757	-0.011689417	0.105328251
0.008000000	-0.216045299	0.277287854	-1.649946348	-0.561446865	0.414395800	0.522383495	-0.031669718	0.002139525	0.034599974	-0.107455467	-0.011675788	0.105318910
0.009000000	-0.216076968	0.277289993	-1.649911754	-0.561554316	0.414384131	0.522488809	-0.031668941	0.002138666	0.034588162	-0.107446168	-0.011662158	0.105309558
0.010000000	-0.216108637	0.277292131	-1.649877172	-0.561661757	0.414372476	0.522594114	-0.031668166	0.002137807	0.034576348	-0.107436858	-0.011648526	0.105300196
0.011000000	-0.216140305	0.277294268	-1.649842601	-0.561769189	0.414360834	0.522699409	-0.031667393	0.002136947	0.034564530	-0.107427540	-0.011634893	0.105290822
