time_s	q1_rad	q2_rad	q3_rad	q4_rad	q5_rad	q6_rad	dq1_rad_s	dq2_rad_s	dq3_rad_s	dq4_rad_s	dq5_rad_s	dq6_rad_s
0.000000000	-0.032523687	0.554170217	0.460085226	-0.038299059	-1.014584428	-3.121364655	0.004366762	0.237731187	-0.187987502	0.006325637	-0.049618963	-0.004958293
0.001000000	-0.032519084	0.554407930	0.459897221	-0.038292456	-1.014634006	-3.121369758	0.004839860	0.237695859	-0.188022962	0.006879896	-0.049538642	-0.005247459
0.002000000	-0.032514008	0.554645609	0.459709180	-0.038285299	-1.014683505	-3.121375150	0.005312799	0.237660611	-0.188045815	0.007434484	-0.049471034	-0.005537484
0.003000000	-0.032508458	0.554883252	0.459521129	-0.038277587	-1.014732949	-3.121380833	0.005785467	0.237624712	-0.188055475	0.007989240	-0.049416000	-0.005828242
0.004000000	-0.032502437	0.555120858	0.459333069	-0.038269320	-1.014782337	-3.121386806	0.006257909	0.237587352	-0.188063965	0.008543673	-0.049360687	-0.006118750
0.005000000	-0.032495943	0.555358426	0.459145001	-0.038260500	-1.014831670	-3.121393070	0.006730122	0.237548530	-0.188071286	0.009097780	-0.049305097	-0.006409009
0.006000000	-0.032488976	0.555595955	0.458956927	-0.038251125	-1.014880947	-3.121399624	0.007202104	0.237508249	-0.188077436	0.009651559	-0.049249231	-0.006699016
0.007000000	-0.032481538	0.555833443	0.458768847	-0.038241196	-1.014930168	-3.121406468	0.007673852	0.237466509	-0.188082417	0.010205005	-0.049193090	-0.006988770
0.008000000	-0.032473629	0.556070888	0.458580762	-0.038230715	-1.014979333	-3.121413602	0.008145362	0.237423311	-0.188086229	0.010758116	-0.049136675	-0.007278269
0.009000000	-0.032465248	0.556308289	0.458392674	-0.038219680	-1.015028442	-3.121421025	0.008616633	0.237378657	-0.188088872	0.011310889	-0.049079989	-0.007567512
