time_s	q1_rad	q2_rad	q3_rad	q4_rad	q5_rad	q6_rad	dq1_rad_s	dq2_rad_s	dq3_rad_s	dq4_rad_s	dq5_rad_s	dq6_rad_s
0.000000000	-0.032523687	0.554170217	0.460085226	-0.038299059	-1.014584428	-3.121364655	0.002183220	0.118885131	-0.094018874	0.003162592	-0.024804062	-0.002479034
0.001000000	-0.032521445	0.554289099	0.459991202	-0.038295827	-1.014609222	-3.121367170	0.002301959	0.118878691	-0.094029519	0.003301533	-0.024784464	-0.002551262
0.002000000	-0.032519083	0.554407974	0.459897167	-0.038292456	-1.014633997	-3.121369757	0.002420477	0.118871256	-0.094036269	0.003440436	-0.024767835	-0.002623782
0.003000000	-0.032516604	0.554526841	0.459803130	-0.038288946	-1.014658758	-3.121372417	0.002538761	0.118862735	-0.094039051	0.003579280	-0.024754159	-0.002696578
0.004000000	-0.032514006	0.554645700	0.459709089	-0.038285297	-1.014683505	-3.121375150	0.002657017	0.118854031	-0.094041687	0.003718084	-0.024740447	-0.002769343
0.005000000	-0.032511290	0.554764549	0.459615046	-0.038281509	-1.014708238	-3.121377956	0.002775245	0.118845144	-0.094044176	0.003856848	-0.024726701	-0.002842077
0.006000000	-0.032508455	0.554883390	0.459521001	-0.038277583	-1.014732958	-3.121380835	0.002893445	0.118836074	-0.094046518	0.003995572	-0.024712920	-0.002914780
0.007000000	-0.032505503	0.555002221	0.459426953	-0.038273518	-1.014757664	-3.121383786	0.003011617	0.118826822	-0.094048715	0.004134256	-0.024699103	-0.002987451
0.008000000	-0.032502432	0.555121044	0.459332903	-0.038269315	-1.014782356	-3.121386809	0.003129760	0.118817386	-0.094050765	0.004272899	-0.024685252	-0.003060092
0.009000000	-0.032499243	0.555239856	0.459238852	-0.038264973	-1.014807035	-3.121389906	0.003247875	0.118807768	-0.094052669	0.004411502	-0.024671366	-0.003132701
0.010000000	-0.032495936	0.555358659	0.459144798	-0.038260492	-1.014831699	-3.121393075	0.003365961	0.118797967	-0.094054426	0.004550063	-0.024657446	-0.003205279
0.011000000	-0.032492511	0.555477452	0.459050743	-0.038255872	-1.014856350	-3.121396316	0.003484018	0.118787984	-0.094056037	0.004688584	-0.024643491	-0.003277825
0.012000000	-0.032488968	0.555596235	0.458956686	-0.038251115	-1.014880986	-3.121399630	0.003602046	0.118777818	-0.094057502	0.004827063	-0.024629502	-0.003350340
0.013000000	-0.032485307	0.555715008	0.458862628	-0.038246218	-1.014905609	-3.121403017	0.003720045	0.118767469	-0.094058820	0.004965500	-0.024615478	-0.003422823
