time_s	q1_rad	q2_rad	q3_rad	q4_rad	q5_rad	q6_rad	dq1_rad_s	dq2_rad_s	dq3_rad_s	dq4_rad_s	dq5_rad_s	dq6_rad_s
0.000000000	-0.562368629	0.191018107	-2.711320402	-0.575484185	1.368946271	0.129333474	0.065005176	0.218085436	0.076191098	0.081568789	0.110646283	-0.092039494
0.001000000	-0.562303444	0.191236178	-2.711244302	-0.575402420	1.369056967	0.129241373	0.065365323	0.218056350	0.076009518	0.081960274	0.110746093	-0.092162860
0.002000000	-0.562237898	0.191454219	-2.711168383	-0.575320264	1.369167763	0.129149148	0.065732936	0.218006999	0.075844488	0.082344398	0.110811124	-0.092274864
0.003000000	-0.562171978	0.191672192	-2.711092613	-0.575237732	1.369278590	0.129056823	0.066107775	0.217936738	0.075695792	0.082720860	0.110841099	-0.092375151
0.004000000	-0.562105683	0.191890093	-2.711016992	-0.575154823	1.369389445	0.128964398	0.066482137	0.217865190	0.075546668	0.083096720	0.110870523	-0.092474723
0.005000000	-0.562039013	0.192107922	-2.710941520	-0.575071538	1.369500331	0.128871874	0.066856025	0.217792359	0.075397121	0.083471976	0.110899396	-0.092573578
0.006000000	-0.561971971	0.192325678	-2.710866197	-0.574987879	1.369611244	0.128779251	0.067229438	0.217718246	0.075247151	0.083846627	0.110927720	-0.092671716
0.007000000	-0.561904555	0.192543358	-2.710791025	-0.574903845	1.369722186	0.128686530	0.067602374	0.217642852	0.075096758	0.084220673	0.110955495	-0.092769137
0.008000000	-0.561836766	0.192760963	-2.710716004	-0.574819437	1.369833155	0.128593713	0.067974830	0.217566179	0.074945945	0.084594111	0.110982722	-0.092865843
0.009000000	-0.561768605	0.192978491	-2.710641133	-0.574734657	1.369944151	0.128500799	0.068346807	0.217488230	0.074794711	0.084966941	0.111009402	-0.092961834
0.010000000	-0.561700072	0.193195940	-2.710566414	-0.574649504	1.370055174	0.128407789	0.068718301	0.217409005	0.074643057	0.085339161	0.111035535	-0.093057111
0.011000000	-0.561631168	0.193413309	-2.710491847	-0.574563978	1.370166223	0.128314684	0.069089311	0.217328505	0.074490984	0.085710770	0.111061122	-0.093151673
0.012000000	-0.561561894	0.193630597	-2.710417432	-0.574478082	1.370277296	0.128221486	0.069459836	0.217246733	0.074338493	0.086081767	0.111086164	-0.093245521
0.013000000	-0.561492249	0.193847802	-2.710343170	-0.574391815	1.370388395	0.128128193	0.069829875	0.217163691	0.074185584	0.086452151	0.111110661	-0.093338657
