time_s	q1_rad	q2_rad	q3_rad	q4_rad	q5_rad	q6_rad	dq1_rad_s	dq2_rad_s	dq3_rad_s	dq4_rad_s	dq5_rad_s	dq6_rad_s
0.000000000	-0.032523687	0.554170217	0.460085226	-0.038299059	-1.014584428	-3.121364655	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000
0.001000000	-0.032523687	0.554170217	0.460085226	-0.038299059	-1.014584428	-3.121364655	0.000000013	0.000000712	-0.000000563	0.000000019	-0.000000149	-0.000000015
0.002000000	-0.032523687	0.554170219	0.460085225	-0.038299059	-1.014584428	-3.121364655	0.000000052	0.000002848	-0.000002252	0.000000076	-0.000000594	-0.000000059
0.003000000	-0.032523687	0.554170223	0.460085221	-0.038299058	-1.014584429	-3.121364655	0.000000118	0.000006403	-0.000005063	0.000000170	-0.000001337	-0.000000134
0.004000000	-0.032523687	0.554170232	0.460085214	-0.038299058	-1.014584431	-3.121364655	0.000000209	0.000011376	-0.000008996	0.000000303	-0.000002374	-0.000000237
0.005000000	-0.032523687	0.554170246	0.460085203	-0.038299058	-1.014584434	-3.121364655	0.000000326	0.000017763	-0.000014046	0.000000473	-0.000003708	-0.000000370
0.006000000	-0.032523686	0.554170268	0.460085186	-0.038299057	-1.014584438	-3.121364656	0.000000470	0.000025562	-0.000020213	0.000000680	-0.000005335	-0.000000533
0.007000000	-0.032523686	0.554170298	0.460085162	-0.038299056	-1.014584445	-3.121364656	0.000000639	0.000034770	-0.000027494	0.000000925	-0.000007257	-0.000000725
0.008000000	-0.032523685	0.554170338	0.460085130	-0.038299055	-1.014584453	-3.121364657	0.000000834	0.000045383	-0.000035887	0.000001208	-0.000009472	-0.000000947
0.009000000	-0.032523684	0.554170389	0.460085090	-0.038299054	-1.014584464	-3.121364658	0.000001054	0.000057399	-0.000045389	0.000001527	-0.000011980	-0.000001197
0.010000000	-0.032523683	0.554170453	0.460085039	-0.038299052	-1.014584477	-3.121364660	0.000001301	0.000070816	-0.000055998	0.000001884	-0.000014781	-0.000001477
0.011000000	-0.032523681	0.554170531	0.460084977	-0.038299050	-1.014584493	-3.121364661	0.000001573	0.000085630	-0.000067712	0.000002279	-0.000017872	-0.000001786
0.012000000	-0.032523679	0.554170625	0.460084903	-0.038299047	-1.014584513	-3.121364663	0.000001871	0.000101838	-0.000080529	0.000002710	-0.000021255	-0.000002124
0.013000000	-0.032523677	0.554170735	0.460084816	-0.038299044	-1.014584536	-3.121364666	0.000002194	0.000119438	-0.000094446	0.000003179	-0.000024929	-0.000002491
0.014000000	-0.032523675	0.554170864	0.460084714	-0.038299041	-1.014584563	-3.121364669	0.000002543	0.000138426	-0.000109461	0.000003684	-0.000028892	-0.000002888
0.015000000	-0.032523672	0.554171013	0.460084597	-0.038299036	-1.014584594	-3.121364672	0.000002918	0.000158801	-0.000125573	0.000004227	-0.000033145	-0.000003313
0.016000000	-0.032523669	0.554171182	0.460084463	-0.038299032	-1.014584629	-3.121364675	0.000003318	0.000180558	-0.000142778	0.000004806	-0.000037686	-0.000003767
0.017000000	-0.032523665	0.554171374	0.460084311	-0.038299026	-1.014584669	-3.121364680	0.000003744	0.000203696	-0.000161074	0.000005422	-0.000042515	-0.000004250
0.018000000	-0.032523661	0.554171590	0.460084140	-0.038299020	-1.014584714	-3.121364684	0.000004195	0.000228211	-0.000180460	0.000006075	-0.000047631	-0.000004761
0.019000000	-0.032523656	0.554171831	0.460083949	-0.038299014	-1.014584764	-3.121364689	0.000004671	0.000254100	-0.000200932	0.000006765	-0.000053035	-0.000005302
0.020000000	-0.032523651	0.554172099	0.460083738	-0.038299006	-1.014584820	-3.121364695	0.000005173	0.000281361	-0.000222489	0.000007492	-0.000058725	-0.000005871
0.021000000	-0.032523645	0.554172394	0.460083504	-0.038298998	-1.014584882	-3.121364701	0.000005700	0.000309991	-0.000245128	0.000008255	-0.000064700	-0.000006469
0.022000000	-0.032523639	0.554172719	0.460083247	-0.038298989	-1.014584950	-3.121364708	0.000006252	0.000339987	-0.000268848	0.000009055	-0.000070961	-0.000007095
0.023000000	-0.032523632	0.554173075	0.460082966	-0.038298979	-1.014585024	-3.121364716	0.000006830	0.000371346	-0.000293646	0.000009891	-0.000077506	-0.000007751
0.024000000	-0.032523624	0.554173462	0.460082659	-0.038298968	-1.014585105	-3.121364724	0.000007433	0.000404065	-0.000319519	0.000010764	-0.000084334	-0.000008434
0.025000000	-0.032523616	0.554173883	0.460082327	-0.038298957	-1.014585192	-3.121364733	0.000008061	0.000438142	-0.000346465	0.000011674	-0.000091446	-0.000009146
0.026000000	-0.032523608	0.554174339	0.460081966	-0.038298944	-1.014585287	-3.121364743	0.000008715	0.000473573	-0.000374483	0.000012620	-0.000098841	-0.000009887
0.027000000	-0.032523598	0.554174831	0.460081577	-0.038298930	-1.014585390	-3.121364754	0.000009394	0.000510355	-0.000403569	0.000013603	-0.000106518	-0.000010656
0.028000000	-0.032523588	0.554175360	0.460081159	-0.038298916	-1.014585500	-3.121364765	0.000010099	0.000548486	-0.000433722	0.000014622	-0.000114476	-0.000011454
0.029000000	-0.032523577	0.554175928	0.460080709	-0.038298900	-1.014585619	-3.121364777	0.000010828	0.000587964	-0.000464940	0.000015678	-0.000122715	-0.000012280
0.030000000	-0.032523565	0.554176536	0.460080228	-0.038298883	-1.014585746	-3.121364790	0.000011583	0.000628784	-0.000497220	0.000016770	-0.000131234	-0.000013135
0.031000000	-0.032523552	0.554177186	0.460079714	-0.038298865	-1.014585881	-3.121364804	0.000012363	0.000670945	-0.000530559	0.000017899	-0.000140033	-0.000014018
0.032000000	-0.032523539	0.554177879	0.460079167	-0.038298846	-1.014586026	-3.121364819	0.000013169	0.000714443	-0.000564956	0.000019064	-0.000149111	-0.000014929
0.033000000	-0.032523525	0.554178615	0.460078584	-0.038298825	-1.014586179	-3.121364835	0.000014000	0.000759275	-0.000600409	0.000020266	-0.000158467	-0.000015869
0.034000000	-0.032523510	0.554179397	0.460077965	-0.038298804	-1.014586342	-3.121364852	0.000014857	0.000805439	-0.000636915	0.000021504	-0.000168101	-0.000016837
0.035000000	-0.032523494	0.554180226	0.460077310	-0.038298781	-1.014586515	-3.121364870	0.000015739	0.000852932	-0.000674471	0.000022779	-0.000178012	-0.000017833
0.036000000	-0.032523477	0.554181104	0.460076616	-0.038298756	-1.014586698	-3.121364888	0.000016646	0.000901751	-0.000713076	0.000024091	-0.000188200	-0.000018858
0.037000000	-0.032523459	0.554182030	0.460075883	-0.038298730	-1.014586892	-3.121364908	0.000017579	0.000951893	-0.000752728	0.000025439	-0.000198663	-0.000019911
0.038000000	-0.032523440	0.554183008	0.460075110	-0.038298703	-1.014587095	-3.121364929	0.000018538	0.001003355	-0.000793424	0.000026824	-0.000209402	-0.000020993
0.039000000	-0.032523420	0.554184037	0.460074296	-0.038298675	-1.014587310	-3.121364951	0.000019522	0.001056134	-0.000835161	0.000028245	-0.000220416	-0.000022102
0.040000000	-0.032523399	0.554185120	0.460073439	-0.038298645	-1.014587536	-3.121364975	0.000020532	0.001110228	-0.000877939	0.000029704	-0.000231704	-0.000023241
0.041000000	-0.032523377	0.554186258	0.460072539	-0.038298613	-1.014587773	-3.121364999	0.000021568	0.001165634	-0.000921753	0.000031199	-0.000243266	-0.000024407
0.042000000	-0.032523354	0.554187452	0.460071595	-0.038298580	-1.014588022	-3.121365025	0.000022629	0.001222348	-0.000966603	0.000032732	-0.000255100	-0.000025602
0.043000000	-0.032523329	0.554188703	0.460070606	-0.038298545	-1.014588283	-3.121365052	0.000023717	0.001280368	-0.001012486	0.000034301	-0.000267206	-0.000026826
0.044000000	-0.032523304	0.554190013	0.460069570	-0.038298509	-1.014588556	-3.121365080	0.000024830	0.001339691	-0.001059400	0.000035908	-0.000279585	-0.000028078
0.045000000	-0.032523277	0.554191383	0.460068486	-0.038298471	-1.014588842	-3.121365109	0.000025970	0.001400315	-0.001107341	0.000037551	-0.000292234	-0.000029358
0.046000000	-0.032523250	0.554192814	0.460067355	-0.038298431	-1.014589141	-3.121365140	0.000027136	0.001462236	-0.001156310	0.000039232	-0.000305153	-0.000030667
0.047000000	-0.032523221	0.554194307	0.460066173	-0.038298389	-1.014589452	-3.121365172	0.000028328	0.001525451	-0.001206302	0.000040951	-0.000318343	-0.000032004
0.048000000	-0.032523191	0.554195865	0.460064941	-0.038298346	-1.014589777	-3.121365205	0.000029547	0.001589958	-0.001257315	0.000042707	-0.000331801	-0.000033371
0.049000000	-0.032523159	0.554197488	0.460063658	-0.038298301	-1.014590115	-3.121365240	0.000030792	0.001655753	-0.001309348	0.000044500	-0.000345529	-0.000034765
0.050000000	-0.032523127	0.554199177	0.460062322	-0.038298254	-1.014590468	-3.121365276	0.000032064	0.001722835	-0.001362399	0.000046332	-0.000359524	-0.000036189
0.051000000	-0.032523093	0.554200933	0.460060933	-0.038298205	-1.014590834	-3.121365314	0.000033363	0.001791199	-0.001416464	0.000048201	-0.000373786	-0.000037641
0.052000000	-0.032523057	0.554202759	0.460059489	-0.038298155	-1.014591215	-3.121365353	0.000034689	0.001860844	-0.001471542	0.000050109	-0.000388315	-0.000039122
0.053000000	-0.032523020	0.554204655	0.460057989	-0.038298102	-1.014591610	-3.121365394	0.000036041	0.001931765	-0.001527631	0.000052055	-0.000403110	-0.000040632
0.054000000	-0.032522982	0.554206623	0.460056433	-0.038298047	-1.014592021	-3.121365436	0.000037421	0.002003961	-0.001584728	0.000054039	-0.000418170	-0.000042170
0.055000000	-0.032522943	0.554208664	0.460054819	-0.038297991	-1.014592446	-3.121365480	0.000038829	0.002077429	-0.001642830	0.000056062	-0.000433495	-0.000043738
0.056000000	-0.032522902	0.554210778	0.460053147	-0.038297932	-1.014592887	-3.121365525	0.000040264	0.002152166	-0.001701937	0.000058123	-0.000449085	-0.000045335
0.057000000	-0.032522859	0.554212968	0.460051415	-0.038297871	-1.014593344	-3.121365572	0.000041727	0.002228168	-0.001762045	0.000060224	-0.000464937	-0.000046961
0.058000000	-0.032522816	0.554215235	0.460049622	-0.038297808	-1.014593817	-3.121365621	0.000043217	0.002305433	-0.001823153	0.000062363	-0.000481053	-0.000048616
0.059000000	-0.032522770	0.554217579	0.460047768	-0.038297743	-1.014594306	-3.121365671	0.000044736	0.002383958	-0.001885257	0.000064543	-0.000497431	-0.000050301
0.060000000	-0.032522723	0.554220003	0.460045851	-0.038297676	-1.014594811	-3.121365723	0.000046283	0.002463740	-0.001948356	0.000066761	-0.000514071	-0.000052015
0.061000000	-0.032522675	0.554222507	0.460043871	-0.038297606	-1.014595334	-3.121365777	0.000047859	0.002544777	-0.002012448	0.000069020	-0.000530971	-0.000053758
0.062000000	-0.032522625	0.554225093	0.460041826	-0.038297534	-1.014595873	-3.121365833	0.000049464	0.002627065	-0.002077531	0.000071318	-0.000548132	-0.000055532
0.063000000	-0.032522573	0.554227761	0.460039715	-0.038297460	-1.014596429	-3.121365890	0.000051097	0.002710602	-0.002143601	0.000073657	-0.000565552	-0.000057334
0.064000000	-0.032522520	0.554230514	0.460037538	-0.038297384	-1.014597004	-3.121365949	0.000052760	0.002795384	-0.002210657	0.000076037	-0.000583232	-0.000059167
0.065000000	-0.032522465	0.554233352	0.460035293	-0.038297305	-1.014597595	-3.121366010	0.000054452	0.002881409	-0.002278697	0.000078457	-0.000601169	-0.000061030
