time_s	q1_rad	q2_rad	q3_rad	q4_rad	q5_rad	q6_rad	dq1_rad_s	dq2_rad_s	dq3_rad_s	dq4_rad_s	dq5_rad_s	dq6_rad_s
0.000000000	-0.032523687	0.554170217	0.460085226	-0.038299059	-1.014584428	-3.121364655	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000
0.001000000	-0.032523687	0.554170217	0.460085226	-0.038299059	-1.014584428	-3.121364655	0.000000007	0.000000356	-0.000000282	0.000000009	-0.000000074	-0.000000007
0.002000000	-0.032523687	0.554170218	0.460085225	-0.038299059	-1.014584428	-3.121364655	0.000000026	0.000001425	-0.000001127	0.000000038	-0.000000297	-0.000000030
0.003000000	-0.032523687	0.554170220	0.460085224	-0.038299058	-1.014584428	-3.121364655	0.000000059	0.000003203	-0.000002533	0.000000085	-0.000000668	-0.000000067
0.004000000	-0.032523687	0.554170224	0.460085220	-0.038299058	-1.014584429	-3.121364655	0.000000105	0.000005691	-0.000004501	0.000000151	-0.000001187	-0.000000119
0.005000000	-0.032523687	0.554170232	0.460085215	-0.038299058	-1.014584431	-3.121364655	0.000000163	0.000008887	-0.000007028	0.000000236	-0.000001854	-0.000000185
0.006000000	-0.032523687	0.554170242	0.460085206	-0.038299058	-1.014584433	-3.121364655	0.000000235	0.000012788	-0.000010113	0.000000340	-0.000002668	-0.000000267
0.007000000	-0.032523687	0.554170257	0.460085194	-0.038299057	-1.014584436	-3.121364656	0.000000319	0.000017395	-0.000013756	0.000000463	-0.000003629	-0.000000363
0.008000000	-0.032523686	0.554170277	0.460085178	-0.038299057	-1.014584440	-3.121364656	0.000000417	0.000022704	-0.000017955	0.000000604	-0.000004737	-0.000000473
0.009000000	-0.032523686	0.554170303	0.460085158	-0.038299056	-1.014584446	-3.121364657	0.000000527	0.000028716	-0.000022710	0.000000764	-0.000005991	-0.000000599
0.010000000	-0.032523685	0.554170335	0.460085133	-0.038299055	-1.014584452	-3.121364657	0.000000651	0.000035428	-0.000028018	0.000000942	-0.000007392	-0.000000739
0.011000000	-0.032523684	0.554170374	0.460085102	-0.038299054	-1.014584460	-3.121364658	0.000000787	0.000042839	-0.000033879	0.000001140	-0.000008938	-0.000000893
0.012000000	-0.032523683	0.554170421	0.460085065	-0.038299053	-1.014584470	-3.121364659	0.000000936	0.000050948	-0.000040291	0.000001355	-0.000010630	-0.000001062
0.013000000	-0.032523682	0.554170476	0.460085021	-0.038299052	-1.014584482	-3.121364660	0.000001097	0.000059752	-0.000047254	0.000001590	-0.000012467	-0.000001246
0.014000000	-0.032523681	0.554170541	0.460084970	-0.038299050	-1.014584495	-3.121364662	0.000001272	0.000069252	-0.000054767	0.000001842	-0.000014449	-0.000001444
0.015000000	-0.032523680	0.554170615	0.460084911	-0.038299048	-1.014584511	-3.121364663	0.000001459	0.000079445	-0.000062828	0.000002114	-0.000016575	-0.000001657
0.016000000	-0.032523678	0.554170700	0.460084844	-0.038299045	-1.014584528	-3.121364665	0.000001659	0.000090330	-0.000071436	0.000002403	-0.000018846	-0.000001884
0.017000000	-0.032523676	0.554170796	0.460084768	-0.038299043	-1.014584548	-3.121364667	0.000001872	0.000101905	-0.000080591	0.000002711	-0.000021261	-0.000002125
0.018000000	-0.032523674	0.554170904	0.460084683	-0.038299040	-1.014584571	-3.121364669	0.000002097	0.000114170	-0.000090290	0.000003038	-0.000023820	-0.000002381
