time_s	q1_rad	q2_rad	q3_rad	q4_rad	q5_rad	q6_rad	dq1_rad_s	dq2_rad_s	dq3_rad_s	dq4_rad_s	dq5_rad_s	dq6_rad_s
0.000000000	-0.309196286	0.193090787	-2.216022889	-0.405789728	0.880191729	0.267137441	-0.000000000	0.000000000	0.000000000	-0.000000000	-0.000000000	0.000000000
0.001000000	-0.309196286	0.193090787	-2.216022889	-0.405789728	0.880191729	0.267137441	-0.000000306	0.000000012	0.000000154	-0.000000429	-0.000000049	0.000000316
0.002000000	-0.309196286	0.193090787	-2.216022889	-0.405789729	0.880191729	0.267137442	-0.000001223	0.000000050	0.000000615	-0.000001714	-0.000000196	0.000001264
0.003000000	-0.309196288	0.193090787	-2.216022888	-0.405789732	0.880191729	0.267137444	-0.000002749	0.000000112	0.000001382	-0.000003855	-0.000000442	0.000002842
0.004000000	-0.309196292	0.193090787	-2.216022886	-0.405789737	0.880191728	0.267137448	-0.000004885	0.000000199	0.000002456	-0.000006848	-0.000000785	0.000005049
0.005000000	-0.309196298	0.193090788	-2.216022883	-0.405789746	0.880191727	0.267137454	-0.000007627	0.000000310	0.000003835	-0.000010693	-0.000001225	0.000007884
0.006000000	-0.309196308	0.193090788	-2.216022878	-0.405789759	0.880191725	0.267137464	-0.000010976	0.000000447	0.000005519	-0.000015387	-0.000001763	0.000011345
0.007000000	-0.309196321	0.193090788	-2.216022872	-0.405789777	0.880191723	0.267137477	-0.000014929	0.000000607	0.000007507	-0.000020930	-0.000002398	0.000015431
0.008000000	-0.309196338	0.193090789	-2.216022863	-0.405789801	0.880191721	0.267137495	-0.000019487	0.000000793	0.000009798	-0.000027319	-0.000003130	0.000020141
0.009000000	-0.309196360	0.193090790	-2.216022852	-0.405789832	0.880191717	0.267137517	-0.000024646	0.000001003	0.000012392	-0.000034552	-0.000003959	0.000025474
0.010000000	-0.309196387	0.193090791	-2.216022838	-0.405789870	0.880191713	0.267137546	-0.000030407	0.000001237	0.000015289	-0.000042629	-0.000004884	0.000031429
0.011000000	-0.309196421	0.193090793	-2.216022822	-0.405789917	0.880191707	0.267137580	-0.000036768	0.000001496	0.000018487	-0.000051546	-0.000005905	0.000038003
0.012000000	-0.309196461	0.193090794	-2.216022801	-0.405789973	0.880191701	0.267137622	-0.000043727	0.000001779	0.000021986	-0.000061303	-0.000007023	0.000045197
0.013000000	-0.309196508	0.193090796	-2.216022778	-0.405790040	0.880191694	0.267137671	-0.000051285	0.000002087	0.000025786	-0.000071897	-0.000008237	0.000053008
0.014000000	-0.309196564	0.193090798	-2.216022750	-0.405790118	0.880191685	0.267137728	-0.000059438	0.000002418	0.000029885	-0.000083328	-0.000009546	0.000061435
0.015000000	-0.309196628	0.193090801	-2.216022718	-0.405790207	0.880191675	0.267137794	-0.000068187	0.000002774	0.000034284	-0.000095592	-0.000010951	0.000070477
0.016000000	-0.309196700	0.193090804	-2.216022681	-0.405790309	0.880191663	0.267137869	-0.000077529	0.000003154	0.000038981	-0.000108690	-0.000012451	0.000080134
0.017000000	-0.309196783	0.193090807	-2.216022640	-0.405790425	0.880191650	0.267137954	-0.000087464	0.000003559	0.000043976	-0.000122618	-0.000014047	0.000090402
0.018000000	-0.309196876	0.193090811	-2.216022594	-0.405790554	0.880191635	0.267138050	-0.000097990	0.000003987	0.000049268	-0.000137375	-0.000015737	0.000101282
0.019000000	-0.309196979	0.193090815	-2.216022542	-0.405790700	0.880191619	0.267138157	-0.000109107	0.000004439	0.000054857	-0.000152959	-0.000017522	0.000112772
0.020000000	-0.309197094	0.193090820	-2.216022484	-0.405790861	0.880191601	0.267138276	-0.000120813	0.000004915	0.000060742	-0.000169370	-0.000019401	0.000124871
0.021000000	-0.309197221	0.193090825	-2.216022421	-0.405791039	0.880191580	0.267138407	-0.000133106	0.000005416	0.000066922	-0.000186604	-0.000021375	0.000137577
0.022000000	-0.309197361	0.193090831	-2.216022351	-0.405791234	0.880191558	0.267138551	-0.000145986	0.000005940	0.000073397	-0.000204660	-0.000023443	0.000150889
0.023000000	-0.309197513	0.193090837	-2.216022274	-0.405791448	0.880191534	0.267138709	-0.000159451	0.000006488	0.000080167	-0.000223537	-0.000025604	0.000164806
0.024000000	-0.309197680	0.193090844	-2.216022191	-0.405791681	0.880191507	0.267138881	-0.000173501	0.000007060	0.000087229	-0.000243233	-0.000027859	0.000179327
0.025000000	-0.309197861	0.193090851	-2.216022100	-0.405791935	0.880191479	0.267139067	-0.000188133	0.000007655	0.000094585	-0.000263746	-0.000030208	0.000194450
0.026000000	-0.309198056	0.193090859	-2.216022002	-0.405792209	0.880191448	0.267139269	-0.000203347	0.000008274	0.000102232	-0.000285074	-0.000032649	0.000210174
0.027000000	-0.309198268	0.193090868	-2.216021896	-0.405792505	0.880191414	0.267139488	-0.000219141	0.000008917	0.000110171	-0.000307216	-0.000035183	0.000226498
0.028000000	-0.309198495	0.193090877	-2.216021782	-0.405792824	0.880191378	0.267139722	-0.000235515	0.000009583	0.000118401	-0.000330169	-0.000037810	0.000243420
0.029000000	-0.309198739	0.193090887	-2.216021660	-0.405793166	0.880191339	0.267139974	-0.000252467	0.000010273	0.000126921	-0.000353933	-0.000040530	0.000260940
0.030000000	-0.309199000	0.193090898	-2.216021529	-0.405793532	0.880191298	0.267140244	-0.000269995	0.000010987	0.000135731	-0.000378506	-0.000043341	0.000279055
0.031000000	-0.309199279	0.193090909	-2.216021389	-0.405793923	0.880191253	0.267140532	-0.000288099	0.000011724	0.000144830	-0.000403885	-0.000046245	0.000297766
0.032000000	-0.309199577	0.193090921	-2.216021240	-0.405794340	0.880191206	0.267140840	-0.000306777	0.000012484	0.000154217	-0.000430069	-0.000049240	0.000317069
0.033000000	-0.309199893	0.193090934	-2.216021081	-0.405794783	0.880191156	0.267141167	-0.000326029	0.000013268	0.000163891	-0.000457057	-0.000052326	0.000336965
0.034000000	-0.309200229	0.193090948	-2.216020913	-0.405795254	0.880191102	0.267141514	-0.000345853	0.000014075	0.000173852	-0.000484846	-0.000055504	0.000357451
0.035000000	-0.309200585	0.193090963	-2.216020735	-0.405795753	0.880191046	0.267141881	-0.000366247	0.000014905	0.000184100	-0.000513435	-0.000058773	0.000378527
0.036000000	-0.309200962	0.193090978	-2.216020546	-0.405796281	0.880190986	0.267142270	-0.000387211	0.000015759	0.000194633	-0.000542822	-0.000062132	0.000400192
0.037000000	-0.309201360	0.193090994	-2.216020346	-0.405796839	0.880190923	0.267142681	-0.000408743	0.000016636	0.000205451	-0.000573006	-0.000065581	0.000422443
0.038000000	-0.309201780	0.193091011	-2.216020136	-0.405797427	0.880190856	0.267143115	-0.000430842	0.000017536	0.000216553	-0.000603984	-0.000069121	0.000445280
