time_s	q1_rad	q2_rad	q3_rad	q4_rad	q5_rad	q6_rad	dq1_rad_s	dq2_rad_s	dq3_rad_s	dq4_rad_s	dq5_rad_s	dq6_rad_s
0.000000000	-2.329510797	-0.550174887	-0.880458307	-0.839769603	1.795812918	2.897736804	0.000000000	-0.000000000	0.000000000	-0.000000000	-0.000000000	-0.000000000
0.001000000	-2.329510797	-0.550174887	-0.880458306	-0.839769603	1.795812918	2.897736804	0.000000451	-0.000000046	0.000000057	-0.000000431	-0.000000178	-0.000000022
0.002000000	-2.329510796	-0.550174887	-0.880458306	-0.839769604	1.795812918	2.897736804	0.000001803	-0.000000183	0.000000229	-0.000001725	-0.000000710	-0.000000086
0.003000000	-2.329510793	-0.550174887	-0.880458306	-0.839769607	1.795812916	2.897736804	0.000004054	-0.000000410	0.000000515	-0.000003878	-0.000001598	-0.000000194
0.004000000	-2.329510787	-0.550174888	-0.880458305	-0.839769612	1.795812914	2.897736803	0.000007203	-0.000000729	0.000000915	-0.000006890	-0.000002838	-0.000000344
0.005000000	-2.329510778	-0.550174889	-0.880458304	-0.839769621	1.795812911	2.897736803	0.000011247	-0.000001139	0.000001430	-0.000010758	-0.000004432	-0.000000537
0.006000000	-2.329510765	-0.550174890	-0.880458302	-0.839769634	1.795812905	2.897736802	0.000016185	-0.000001639	0.000002057	-0.000015481	-0.000006377	-0.000000773
0.007000000	-2.329510746	-0.550174892	-0.880458300	-0.839769652	1.795812898	2.897736801	0.000022015	-0.000002229	0.000002798	-0.000021058	-0.000008674	-0.000001051
0.008000000	-2.329510720	-0.550174894	-0.880458297	-0.839769676	1.795812888	2.897736800	0.000028735	-0.000002909	0.000003652	-0.000027485	-0.000011322	-0.000001372
0.009000000	-2.329510688	-0.550174898	-0.880458293	-0.839769707	1.795812875	2.897736799	0.000036343	-0.000003679	0.000004619	-0.000034763	-0.000014320	-0.000001735
0.010000000	-2.329510647	-0.550174902	-0.880458287	-0.839769746	1.795812859	2.897736797	0.000044838	-0.000004539	0.000005699	-0.000042888	-0.000017667	-0.000002141
0.011000000	-2.329510598	-0.550174907	-0.880458281	-0.839769793	1.795812840	2.897736794	0.000054218	-0.000005489	0.000006891	-0.000051860	-0.000021363	-0.000002589
0.012000000	-2.329510539	-0.550174913	-0.880458274	-0.839769850	1.795812816	2.897736792	0.000064480	-0.000006528	0.000008195	-0.000061676	-0.000025406	-0.000003079
0.013000000	-2.329510469	-0.550174920	-0.880458265	-0.839769917	1.795812789	2.897736788	0.000075624	-0.000007656	0.000009612	-0.000072335	-0.000029797	-0.000003611
0.014000000	-2.329510387	-0.550174928	-0.880458254	-0.839769995	1.795812757	2.897736784	0.000087647	-0.000008873	0.000011140	-0.000083835	-0.000034535	-0.000004185
0.015000000	-2.329510293	-0.550174938	-0.880458242	-0.839770085	1.795812720	2.897736780	0.000100547	-0.000010179	0.000012779	-0.000096175	-0.000039618	-0.000004801
0.016000000	-2.329510186	-0.550174949	-0.880458229	-0.839770187	1.795812677	2.897736775	0.000114323	-0.000011574	0.000014530	-0.000109352	-0.000045046	-0.000005459
0.017000000	-2.329510064	-0.550174961	-0.880458213	-0.839770304	1.795812629	2.897736769	0.000128973	-0.000013057	0.000016392	-0.000123365	-0.000050818	-0.000006158
0.018000000	-2.329509928	-0.550174975	-0.880458196	-0.839770434	1.795812576	2.897736762	0.000144495	-0.000014629	0.000018365	-0.000138212	-0.000056934	-0.000006900
0.019000000	-2.329509775	-0.550174990	-0.880458177	-0.839770580	1.795812515	2.897736755	0.000160887	-0.000016288	0.000020449	-0.000153891	-0.000063393	-0.000007682
0.020000000	-2.329509606	-0.550175007	-0.880458155	-0.839770742	1.795812449	2.897736747	0.000178148	-0.000018036	0.000022642	-0.000170401	-0.000070194	-0.000008506
0.021000000	-2.329509419	-0.550175026	-0.880458131	-0.839770921	1.795812375	2.897736738	0.000196276	-0.000019871	0.000024946	-0.000187740	-0.000077336	-0.000009372
