time_s	q1_rad	q2_rad	q3_rad	q4_rad	q5_rad	q6_rad	dq1_rad_s	dq2_rad_s	dq3_rad_s	dq4_rad_s	dq5_rad_s	dq6_rad_s
0.000000000	-0.000000000	0.802115992	-0.626914536	-0.000000000	-0.175201456	0.000000000	0.000000000	-0.000000000	0.000000000	-0.000000000	-0.000000000	0.000000000
0.001000000	0.000000000	0.802115992	-0.626914536	-0.000000002	-0.175201456	0.000000002	0.000000860	-0.000000000	0.000000000	-0.000004933	-0.000000000	0.000004857
0.002000000	0.000000002	0.802115992	-0.626914536	-0.000000013	-0.175201456	0.000000013	0.000003437	-0.000000000	0.000000000	-0.000019718	-0.000000000	0.000019417
0.003000000	0.000000008	0.802115992	-0.626914536	-0.000000044	-0.175201456	0.000000044	0.000007728	-0.000000000	0.000000000	-0.000044337	-0.000000000	0.000043658
0.004000000	0.000000018	0.802115992	-0.626914536	-0.000000105	-0.175201456	0.000000103	0.000013730	-0.000000000	0.000000001	-0.000078769	-0.000000000	0.000077563
0.005000000	0.000000036	0.802115992	-0.626914536	-0.000000205	-0.175201456	0.000000202	0.000021439	-0.000000001	0.000000001	-0.000122994	-0.000000000	0.000121111
0.006000000	0.000000062	0.802115992	-0.626914536	-0.000000354	-0.175201456	0.000000349	0.000030851	-0.000000001	0.000000001	-0.000176992	-0.000000000	0.000174283
0.007000000	0.000000098	0.802115992	-0.626914536	-0.000000562	-0.175201456	0.000000554	0.000041963	-0.000000001	0.000000002	-0.000240745	-0.000000001	0.000237060
0.008000000	0.000000146	0.802115992	-0.626914535	-0.000000839	-0.175201456	0.000000826	0.000054773	-0.000000001	0.000000002	-0.000314232	-0.000000001	0.000309422
0.009000000	0.000000208	0.802115992	-0.626914535	-0.000001194	-0.175201456	0.000001176	0.000069275	-0.000000002	0.000000003	-0.000397433	-0.000000001	0.000391349
0.010000000	0.000000285	0.802115992	-0.626914535	-0.000001637	-0.175201456	0.000001612	0.000085468	-0.000000002	0.000000003	-0.000490329	-0.000000001	0.000482823
0.011000000	0.000000380	0.802115992	-0.626914535	-0.000002178	-0.175201456	0.000002145	0.000103346	-0.000000003	0.000000004	-0.000592900	-0.000000001	0.000583824
0.012000000	0.000000493	0.802115991	-0.626914535	-0.000002826	-0.175201456	0.000002783	0.000122908	-0.000000003	0.000000005	-0.000705126	-0.000000002	0.000694332
0.013000000	0.000000626	0.802115991	-0.626914535	-0.000003591	-0.175201456	0.000003536	0.000144149	-0.000000004	0.000000006	-0.000826988	-0.000000002	0.000814328
0.014000000	0.000000781	0.802115991	-0.626914535	-0.000004483	-0.175201457	0.000004415	0.000167067	-0.000000005	0.000000007	-0.000958466	-0.000000003	0.000943793
0.015000000	0.000000961	0.802115991	-0.626914535	-0.000005512	-0.175201457	0.000005427	0.000191657	-0.000000005	0.000000008	-0.001099539	-0.000000003	0.001082707
0.016000000	0.000001165	0.802115991	-0.626914535	-0.000006686	-0.175201457	0.000006583	0.000217916	-0.000000006	0.000000009	-0.001250188	-0.000000004	0.001231050
0.017000000	0.000001397	0.802115991	-0.626914535	-0.000008015	-0.175201457	0.000007892	0.000245841	-0.000000007	0.000000010	-0.001410394	-0.000000004	0.001388803
0.018000000	0.000001658	0.802115991	-0.626914535	-0.000009510	-0.175201457	0.000009364	0.000275428	-0.000000008	0.000000011	-0.001580137	-0.000000005	0.001555948
0.019000000	0.000001948	0.802115991	-0.626914535	-0.000011179	-0.175201457	0.000011007	0.000306674	-0.000000009	0.000000012	-0.001759397	-0.000000006	0.001732463
0.020000000	0.000002271	0.802115991	-0.626914535	-0.000013032	-0.175201457	0.000012832	0.000339576	-0.000000011	0.000000014	-0.001948154	-0.000000007	0.001918331
0.021000000	0.000002628	0.802115991	-0.626914535	-0.000015078	-0.175201458	0.000014847	0.000374129	-0.000000012	0.000000015	-0.002146389	-0.000000009	0.002113531
0.022000000	0.000003020	0.802115991	-0.626914535	-0.000017327	-0.175201458	0.000017062	0.000410331	-0.000000013	0.000000016	-0.002354081	-0.000000010	0.002318043
0.023000000	0.000003449	0.802115991	-0.626914535	-0.000019789	-0.175201458	0.000019486	0.000448178	-0.000000015	0.000000018	-0.002571211	-0.000000012	0.002531850
0.024000000	0.000003917	0.802115990	-0.626914535	-0.000022473	-0.175201458	0.000022129	0.000487667	-0.000000017	0.000000020	-0.002797760	-0.000000014	0.002754930
0.025000000	0.000004425	0.802115990	-0.626914535	-0.000025388	-0.175201459	0.000024999	0.000528794	-0.000000019	0.000000021	-0.003033707	-0.000000016	0.002987265
0.026000000	0.000004975	0.802115990	-0.626914535	-0.000028544	-0.175201459	0.000028107	0.000571556	-0.000000021	0.000000023	-0.003279033	-0.000000018	0.003228836
0.027000000	0.000005569	0.802115990	-0.626914535	-0.000031949	-0.175201459	0.000031460	0.000615949	-0.000000023	0.000000025	-0.003533718	-0.000000021	0.003479622
0.028000000	0.000006208	0.802115990	-0.626914535	-0.000035614	-0.175201460	0.000035069	0.000661971	-0.000000026	0.000000027	-0.003797742	-0.000000024	0.003739604
0.029000000	0.000006893	0.802115990	-0.626914535	-0.000039548	-0.175201460	0.000038942	0.000709616	-0.000000028	0.000000029	-0.004071086	-0.000000028	0.004008763
0.030000000	0.000007628	0.802115989	-0.626914535	-0.000043759	-0.175201460	0.000043089	0.000758883	-0.000000031	0.000000031	-0.004353729	-0.000000032	0.004287080
0.031000000	0.000008412	0.802115989	-0.626914535	-0.000048258	-0.175201461	0.000047519	0.000809767	-0.000000035	0.000000033	-0.004645653	-0.000000037	0.004574535
0.032000000	0.000009248	0.802115989	-0.626914535	-0.000053054	-0.175201461	0.000052242	0.000862265	-0.000000038	0.000000036	-0.004946837	-0.000000042	0.004871108
0.033000000	0.000010137	0.802115989	-0.626914535	-0.000058155	-0.175201462	0.000057265	0.000916374	-0.000000042	0.000000038	-0.005257261	-0.000000048	0.005176780
0.034000000	0.000011081	0.802115988	-0.626914535	-0.000063571	-0.175201462	0.000062598	0.000972090	-0.000000047	0.000000040	-0.005576906	-0.000000054	0.005491532
0.035000000	0.000012082	0.802115988	-0.626914535	-0.000069312	-0.175201463	0.000068251	0.001029410	-0.000000052	0.000000043	-0.005905753	-0.000000062	0.005815344
0.036000000	0.000013140	0.802115988	-0.626914535	-0.000075386	-0.175201464	0.000074232	0.001088331	-0.000000057	0.000000046	-0.006243780	-0.000000070	0.006148197
0.037000000	0.000014259	0.802115987	-0.626914535	-0.000081802	-0.175201464	0.000080550	0.001148848	-0.000000062	0.000000048	-0.006590970	-0.000000079	0.006490071
0.038000000	0.000015438	0.802115987	-0.626914534	-0.000088571	-0.175201465	0.000087215	0.001210959	-0.000000069	0.000000051	-0.006947301	-0.000000088	0.006840948
0.039000000	0.000016681	0.802115987	-0.626914534	-0.000095700	-0.175201466	0.000094235	0.001274660	-0.000000075	0.000000054	-0.007312754	-0.000000099	0.007200806
0.040000000	0.000017988	0.802115986	-0.626914534	-0.000103199	-0.175201466	0.000101620	0.001339947	-0.000000083	0.000000058	-0.007687309	-0.000000111	0.007569628
0.041000000	0.000019362	0.802115986	-0.626914534	-0.000111078	-0.175201467	0.000109377	0.001406818	-0.000000091	0.000000061	-0.008070947	-0.000000124	0.007947393
0.042000000	0.000020802	0.802115985	-0.626914534	-0.000119344	-0.175201468	0.000117517	0.001475268	-0.000000099	0.000000064	-0.008463648	-0.000000139	0.008334082
0.043000000	0.000022313	0.802115985	-0.626914534	-0.000128008	-0.175201469	0.000126048	0.001545295	-0.000000108	0.000000068	-0.008865392	-0.000000154	0.008729676
0.044000000	0.000023894	0.802115984	-0.626914534	-0.000137078	-0.175201470	0.000134980	0.001616894	-0.000000118	0.000000071	-0.009276160	-0.000000171	0.009134155
0.045000000	0.000025547	0.802115984	-0.626914534	-0.000146563	-0.175201471	0.000144320	0.001690063	-0.000000129	0.000000075	-0.009695931	-0.000000190	0.009547500
0.046000000	0.000027274	0.802115983	-0.626914534	-0.000156473	-0.175201472	0.000154077	0.001764797	-0.000000141	0.000000079	-0.010124685	-0.000000210	0.009969691
0.047000000	0.000029077	0.802115983	-0.626914534	-0.000166816	-0.175201473	0.000164262	0.001841095	-0.000000153	0.000000083	-0.010562404	-0.000000232	0.010400709
0.048000000	0.000030957	0.802115982	-0.626914533	-0.000177601	-0.175201474	0.000174882	0.001918951	-0.000000167	0.000000087	-0.011009068	-0.000000256	0.010840535
0.049000000	0.000032915	0.802115982	-0.626914533	-0.000188837	-0.175201475	0.000185946	0.001998363	-0.000000181	0.000000092	-0.011464656	-0.000000282	0.011289148
0.050000000	0.000034954	0.802115981	-0.626914533	-0.000200533	-0.175201476	0.000197463	0.002079327	-0.000000197	0.000000096	-0.011929148	-0.000000310	0.011746530
0.051000000	0.000037075	0.802115980	-0.626914533	-0.000212698	-0.175201477	0.000209442	0.002161840	-0.000000214	0.000000101	-0.012402526	-0.000000340	0.012212662
0.052000000	0.000039278	0.802115980	-0.626914533	-0.000225341	-0.175201479	0.000221891	0.002245898	-0.000000232	0.000000106	-0.012884770	-0.000000373	0.012687522
0.053000000	0.000041567	0.802115979	-0.626914533	-0.000238470	-0.175201480	0.000234820	0.002331498	-0.000000251	0.000000111	-0.013375858	-0.000000408	0.013171093
0.054000000	0.000043942	0.802115978	-0.626914533	-0.000252095	-0.175201481	0.000248236	0.002418636	-0.000000272	0.000000116	-0.013875773	-0.000000445	0.013663355
0.055000000	0.000046405	0.802115977	-0.626914532	-0.000266225	-0.175201483	0.000262149	0.002507310	-0.000000294	0.000000122	-0.014384494	-0.000000486	0.014164288
0.056000000	0.000048957	0.802115977	-0.626914532	-0.000280867	-0.175201484	0.000276568	0.002597515	-0.000000317	0.000000128	-0.014902001	-0.000000529	0.014673873
0.057000000	0.000051600	0.802115976	-0.626914532	-0.000296032	-0.175201486	0.000291500	0.002689248	-0.000000342	0.000000134	-0.015428275	-0.000000575	0.015192091
0.058000000	0.000054336	0.802115975	-0.626914532	-0.000311727	-0.175201487	0.000306955	0.002782505	-0.000000369	0.000000140	-0.015963296	-0.000000625	0.015718921
0.059000000	0.000057166	0.802115974	-0.626914532	-0.000327961	-0.175201489	0.000322941	0.002877284	-0.000000397	0.000000146	-0.016507044	-0.000000678	0.016254345
0.060000000	0.000060091	0.802115973	-0.626914531	-0.000344744	-0.175201490	0.000339466	0.002973581	-0.000000428	0.000000153	-0.017059500	-0.000000735	0.016798343
0.061000000	0.000063113	0.802115972	-0.626914531	-0.000362083	-0.175201492	0.000356540	0.003071392	-0.000000460	0.000000160	-0.017620643	-0.000000795	0.017350896
0.062000000	0.000066234	0.802115971	-0.626914531	-0.000379988	-0.175201494	0.000374171	0.003170714	-0.000000494	0.000000167	-0.018190454	-0.000000859	0.017911984
0.063000000	0.000069455	0.802115970	-0.626914531	-0.000398467	-0.175201496	0.000392367	0.003271543	-0.000000530	0.000000174	-0.018768913	-0.000000928	0.018481588
0.064000000	0.000072778	0.802115969	-0.626914531	-0.000417529	-0.175201498	0.000411137	0.003373876	-0.000000569	0.000000182	-0.019356000	-0.000001000	0.019059688
0.065000000	0.000076204	0.802115968	-0.626914530	-0.000437182	-0.175201500	0.000430489	0.003477710	-0.000000610	0.000000190	-0.019951696	-0.000001078	0.019646265
0.066000000	0.000079734	0.802115967	-0.626914530	-0.000457435	-0.175201502	0.000450432	0.003583041	-0.000000653	0.000000198	-0.020555981	-0.000001160	0.020241299
0.067000000	0.000083370	0.802115966	-0.626914530	-0.000478296	-0.175201504	0.000470974	0.003689866	-0.000000698	0.000000207	-0.021168836	-0.000001246	0.020844771
0.068000000	0.000087114	0.802115965	-0.626914530	-0.000499775	-0.175201506	0.000492124	0.003798180	-0.000000747	0.000000216	-0.021790239	-0.000001338	0.021456662
0.069000000	0.000090967	0.802115964	-0.626914529	-0.000521880	-0.175201508	0.000513890	0.003907982	-0.000000798	0.000000225	-0.022420172	-0.000001436	0.022076952
0.070000000	0.000094931	0.802115963	-0.626914529	-0.000544618	-0.175201510	0.000536281	0.004019267	-0.000000851	0.000000235	-0.023058616	-0.000001539	0.022705622
0.071000000	0.000099006	0.802115961	-0.626914529	-0.000568000	-0.175201513	0.000559304	0.004132032	-0.000000908	0.000000245	-0.023705549	-0.000001648	0.023342651
0.072000000	0.000103195	0.802115960	-0.626914528	-0.000592032	-0.175201515	0.000582969	0.004246273	-0.000000968	0.000000255	-0.024360953	-0.000001763	0.023988022
0.073000000	0.000107499	0.802115959	-0.626914528	-0.000616724	-0.175201518	0.000607283	0.004361987	-0.000001031	0.000000266	-0.025024807	-0.000001884	0.024641714
0.074000000	0.000111920	0.802115957	-0.626914528	-0.000642085	-0.175201520	0.000632255	0.004479171	-0.000001097	0.000000277	-0.025697093	-0.000002012	0.025303707
0.075000000	0.000116458	0.802115956	-0.626914528	-0.000668121	-0.175201523	0.000657893	0.004597821	-0.000001167	0.000000288	-0.026377789	-0.000002146	0.025973983
0.076000000	0.000121116	0.802115955	-0.626914527	-0.000694843	-0.175201525	0.000684206	0.004717934	-0.000001241	0.000000300	-0.027066877	-0.000002288	0.026652522
0.077000000	0.000125894	0.802115953	-0.626914527	-0.000722258	-0.175201528	0.000711201	0.004839506	-0.000001318	0.000000313	-0.027764337	-0.000002437	0.027339305
0.078000000	0.000130795	0.802115952	-0.626914527	-0.000750374	-0.175201531	0.000738887	0.004962534	-0.000001399	0.000000326	-0.028470148	-0.000002594	0.028034311
0.079000000	0.000135820	0.802115950	-0.626914526	-0.000779201	-0.175201534	0.000767273	0.005087014	-0.000001484	0.000000339	-0.029184292	-0.000002758	0.028737522
0.080000000	0.000140970	0.802115948	-0.626914526	-0.000808746	-0.175201537	0.000796365	0.005212943	-0.000001573	0.000000353	-0.029906748	-0.000002931	0.029448919
0.081000000	0.000146246	0.802115947	-0.626914526	-0.000839017	-0.175201540	0.000826173	0.005340318	-0.000001666	0.000000367	-0.030637497	-0.000003113	0.030168481
0.082000000	0.000151651	0.802115945	-0.626914525	-0.000870024	-0.175201543	0.000856705	0.005469135	-0.000001764	0.000000382	-0.031376518	-0.000003303	0.030896189
0.083000000	0.000157185	0.802115943	-0.626914525	-0.000901773	-0.175201546	0.000887968	0.005599390	-0.000001866	0.000000397	-0.032123793	-0.000003503	0.031632024
0.084000000	0.000162850	0.802115942	-0.626914524	-0.000934274	-0.175201549	0.000919972	0.005731080	-0.000001974	0.000000413	-0.032879301	-0.000003712	0.032375967
