time_s	q1_rad	q2_rad	q3_rad	q4_rad	q5_rad	q6_rad	dq1_rad_s	dq2_rad_s	dq3_rad_s	dq4_rad_s	dq5_rad_s	dq6_rad_s
0.000000000	-0.563240535	0.366789142	-1.478928536	-1.164781342	0.620174944	1.084781928	0.000052810	-0.000048551	-0.000089193	0.000094727	-0.000030643	-0.000098787
0.001000000	-0.563240482	0.366789093	-1.478928625	-1.164781248	0.620174913	1.084781829	0.000108722	-0.000100570	-0.000180642	0.000190386	-0.000064508	-0.000197684
0.002000000	-0.563240317	0.366788940	-1.478928897	-1.164780961	0.620174815	1.084781532	0.000219512	-0.000203454	-0.000362789	0.000381393	-0.000131163	-0.000395443
0.003000000	-0.563240043	0.366788686	-1.478929351	-1.164780485	0.620174651	1.084781038	0.000329268	-0.000305180	-0.000544183	0.000572090	-0.000196745	-0.000593164
0.004000000	-0.563239659	0.366788330	-1.478929985	-1.164779817	0.620174421	1.084780346	0.000439025	-0.000406907	-0.000725576	0.000762788	-0.000262326	-0.000790886
0.005000000	-0.563239165	0.366787872	-1.478930802	-1.164778959	0.620174126	1.084779456	0.000548781	-0.000508633	-0.000906970	0.000953486	-0.000327908	-0.000988608
0.006000000	-0.563238561	0.366787313	-1.478931799	-1.164777910	0.620173765	1.084778369	0.000658538	-0.000610358	-0.001088362	0.001144185	-0.000393489	-0.001186331
0.007000000	-0.563237848	0.366786652	-1.478932978	-1.164776671	0.620173339	1.084777084	0.000768295	-0.000712083	-0.001269754	0.001334884	-0.000459070	-0.001384055
0.008000000	-0.563237025	0.366785889	-1.478934339	-1.164775241	0.620172847	1.084775601	0.000878052	-0.000813807	-0.001451145	0.001525585	-0.000524651	-0.001581779
0.009000000	-0.563236092	0.366785024	-1.478935881	-1.164773620	0.620172290	1.084773920	0.000987809	-0.000915530	-0.001632535	0.001716287	-0.000590231	-0.001779504
0.010000000	-0.563235049	0.366784058	-1.478937604	-1.164771808	0.620171667	1.084772042	0.001097567	-0.001017252	-0.001813924	0.001906990	-0.000655812	-0.001977230
0.011000000	-0.563233897	0.366782989	-1.478939509	-1.164769806	0.620170978	1.084769966	0.001207325	-0.001118974	-0.001995311	0.002097694	-0.000721392	-0.002174957
0.012000000	-0.563232634	0.366781820	-1.478941595	-1.164767613	0.620170224	1.084767692	0.001317084	-0.001220694	-0.002176698	0.002288400	-0.000786971	-0.002372685
0.013000000	-0.563231262	0.366780548	-1.478943862	-1.164765229	0.620169404	1.084765220	0.001426843	-0.001322413	-0.002358082	0.002479108	-0.000852551	-0.002570415
0.014000000	-0.563229781	0.366779175	-1.478946311	-1.164762654	0.620168519	1.084762551	0.001536602	-0.001424130	-0.002539466	0.002669818	-0.000918130	-0.002768145
0.015000000	-0.563228189	0.366777700	-1.478948941	-1.164759889	0.620167568	1.084759684	0.001646362	-0.001525846	-0.002720847	0.002860530	-0.000983708	-0.002965878
0.016000000	-0.563226488	0.366776123	-1.478951752	-1.164756933	0.620166551	1.084756619	0.001756123	-0.001627561	-0.002902227	0.003051244	-0.001049286	-0.003163612
0.017000000	-0.563224677	0.366774445	-1.478954745	-1.164753787	0.620165469	1.084753357	0.001865884	-0.001729274	-0.003083604	0.003241960	-0.001114864	-0.003361347
0.018000000	-0.563222756	0.366772665	-1.478957920	-1.164750449	0.620164322	1.084749897	0.001975646	-0.001830985	-0.003264980	0.003432678	-0.001180441	-0.003559085
0.019000000	-0.563220726	0.366770783	-1.478961275	-1.164746921	0.620163108	1.084746239	0.002085409	-0.001932695	-0.003446353	0.003623400	-0.001246017	-0.003756824
0.020000000	-0.563218585	0.366768799	-1.478964812	-1.164743203	0.620161830	1.084742383	0.002195172	-0.002034402	-0.003627724	0.003814124	-0.001311593	-0.003954566
0.021000000	-0.563216335	0.366766714	-1.478968531	-1.164739293	0.620160485	1.084738330	0.002304936	-0.002136107	-0.003809092	0.004004851	-0.001377169	-0.004152309
0.022000000	-0.563213976	0.366764527	-1.478972430	-1.164735193	0.620159075	1.084734078	0.002414701	-0.002237811	-0.003990458	0.004195581	-0.001442743	-0.004350055
0.023000000	-0.563211506	0.366762238	-1.478976512	-1.164730902	0.620157600	1.084729629	0.002524467	-0.002339511	-0.004171821	0.004386314	-0.001508317	-0.004547803
0.024000000	-0.563208927	0.366759848	-1.478980774	-1.164726420	0.620156059	1.084724983	0.002634233	-0.002441210	-0.004353182	0.004577050	-0.001573890	-0.004745553
0.025000000	-0.563206237	0.366757356	-1.478985218	-1.164721748	0.620154452	1.084720138	0.002744001	-0.002542906	-0.004534539	0.004767790	-0.001639463	-0.004943306
0.026000000	-0.563203439	0.366754762	-1.478989843	-1.164716885	0.620152780	1.084715096	0.002853769	-0.002644600	-0.004715893	0.004958534	-0.001705035	-0.005141062
0.027000000	-0.563200530	0.366752067	-1.478994650	-1.164711831	0.620151042	1.084709856	0.002963539	-0.002746291	-0.004897244	0.005149281	-0.001770606	-0.005338820
0.028000000	-0.563197511	0.366749270	-1.478999638	-1.164706586	0.620149238	1.084704418	0.003073309	-0.002847979	-0.005078592	0.005340032	-0.001836176	-0.005536582
0.029000000	-0.563194383	0.366746371	-1.479004807	-1.164701151	0.620147370	1.084698783	0.003183080	-0.002949664	-0.005259936	0.005530787	-0.001901745	-0.005734346
0.030000000	-0.563191145	0.366743370	-1.479010158	-1.164695525	0.620145435	1.084692950	0.003292853	-0.003051346	-0.005441277	0.005721547	-0.001967314	-0.005932113
0.031000000	-0.563187798	0.366740268	-1.479015690	-1.164689708	0.620143435	1.084686919	0.003402627	-0.003153025	-0.005622614	0.005912310	-0.002032881	-0.006129884
0.032000000	-0.563184340	0.366737064	-1.479021403	-1.164683700	0.620141369	1.084680690	0.003512402	-0.003254701	-0.005803947	0.006103079	-0.002098448	-0.006327658
0.033000000	-0.563180773	0.366733759	-1.479027297	-1.164677501	0.620139238	1.084674263	0.003622178	-0.003356374	-0.005985276	0.006293852	-0.002164014	-0.006525435
0.034000000	-0.563177096	0.366730351	-1.479033373	-1.164671112	0.620137041	1.084667639	0.003731955	-0.003458043	-0.006166601	0.006484629	-0.002229578	-0.006723216
