time_s	q1_rad	q2_rad	q3_rad	q4_rad	q5_rad	q6_rad	dq1_rad_s	dq2_rad_s	dq3_rad_s	dq4_rad_s	dq5_rad_s	dq6_rad_s
0.000000000	0.417127391	0.132840954	-0.454289918	-2.190177341	-0.520788673	2.258774243	-0.000000000	0.000000000	-0.000000000	-0.000000000	0.000000000	0.000000000
0.001000000	0.417127391	0.132840954	-0.454289918	-2.190177341	-0.520788673	2.258774243	-0.000000247	0.000000195	-0.000000179	-0.000000292	0.000000200	0.000000246
0.002000000	0.417127390	0.132840954	-0.454289919	-2.190177341	-0.520788673	2.258774244	-0.000000986	0.000000781	-0.000000716	-0.000001166	0.000000800	0.000000985
0.003000000	0.417127388	0.132840956	-0.454289920	-2.190177343	-0.520788672	2.258774245	-0.000002218	0.000001756	-0.000001610	-0.000002622	0.000001799	0.000002215
0.004000000	0.417127385	0.132840958	-0.454289922	-2.190177347	-0.520788669	2.258774248	-0.000003940	0.000003120	-0.000002860	-0.000004658	0.000003195	0.000003935
0.005000000	0.417127380	0.132840962	-0.454289926	-2.190177353	-0.520788665	2.258774253	-0.000006153	0.000004872	-0.000004466	-0.000007274	0.000004989	0.000006145
0.006000000	0.417127373	0.132840968	-0.454289931	-2.190177362	-0.520788659	2.258774261	-0.000008854	0.000007011	-0.000006427	-0.000010467	0.000007180	0.000008843
0.007000000	0.417127362	0.132840976	-0.454289939	-2.190177374	-0.520788651	2.258774271	-0.000012043	0.000009537	-0.000008741	-0.000014237	0.000009766	0.000012028
0.008000000	0.417127349	0.132840987	-0.454289949	-2.190177390	-0.520788639	2.258774285	-0.000015719	0.000012448	-0.000011410	-0.000018583	0.000012747	0.000015699
0.009000000	0.417127331	0.132841001	-0.454289962	-2.190177411	-0.520788625	2.258774303	-0.000019881	0.000015744	-0.000014431	-0.000023504	0.000016122	0.000019856
0.010000000	0.417127309	0.132841019	-0.454289978	-2.190177437	-0.520788607	2.258774325	-0.000024528	0.000019424	-0.000017804	-0.000028998	0.000019890	0.000024497
0.011000000	0.417127282	0.132841040	-0.454289997	-2.190177469	-0.520788585	2.258774352	-0.000029660	0.000023487	-0.000021528	-0.000035064	0.000024051	0.000029622
0.012000000	0.417127249	0.132841066	-0.454290021	-2.190177508	-0.520788559	2.258774384	-0.000035274	0.000027933	-0.000025603	-0.000041700	0.000028603	0.000035229
0.013000000	0.417127211	0.132841096	-0.454290049	-2.190177553	-0.520788528	2.258774423	-0.000041370	0.000032761	-0.000030028	-0.000048907	0.000033547	0.000041317
0.014000000	0.417127166	0.132841131	-0.454290081	-2.190177606	-0.520788491	2.258774467	-0.000047947	0.000037969	-0.000034802	-0.000056683	0.000038880	0.000047886
0.015000000	0.417127115	0.132841172	-0.454290118	-2.190177667	-0.520788450	2.258774518	-0.000055004	0.000043558	-0.000039924	-0.000065026	0.000044603	0.000054934
0.016000000	0.417127056	0.132841219	-0.454290161	-2.190177736	-0.520788402	2.258774577	-0.000062540	0.000049525	-0.000045394	-0.000073935	0.000050714	0.000062461
0.017000000	0.417126990	0.132841271	-0.454290209	-2.190177815	-0.520788348	2.258774644	-0.000070554	0.000055872	-0.000051211	-0.000083409	0.000057213	0.000070465
0.018000000	0.417126915	0.132841330	-0.454290264	-2.190177903	-0.520788288	2.258774718	-0.000079046	0.000062596	-0.000057374	-0.000093448	0.000064098	0.000078946
0.019000000	0.417126831	0.132841397	-0.454290324	-2.190178002	-0.520788220	2.258774802	-0.000088013	0.000069697	-0.000063883	-0.000104049	0.000071370	0.000087902
0.020000000	0.417126739	0.132841470	-0.454290392	-2.190178111	-0.520788145	2.258774894	-0.000097455	0.000077175	-0.000070737	-0.000115212	0.000079027	0.000097333
0.021000000	0.417126636	0.132841551	-0.454290466	-2.190178232	-0.520788062	2.258774997	-0.000107372	0.000085028	-0.000077934	-0.000126936	0.000087068	0.000107237
0.022000000	0.417126524	0.132841640	-0.454290547	-2.190178366	-0.520787970	2.258775109	-0.000117762	0.000093255	-0.000085476	-0.000139219	0.000095493	0.000117613
0.023000000	0.417126401	0.132841738	-0.454290637	-2.190178511	-0.520787871	2.258775232	-0.000128624	0.000101857	-0.000093360	-0.000152060	0.000104301	0.000128462
0.024000000	0.417126266	0.132841844	-0.454290734	-2.190178670	-0.520787762	2.258775366	-0.000139957	0.000110831	-0.000101585	-0.000165458	0.000113491	0.000139780
0.025000000	0.417126121	0.132841959	-0.454290840	-2.190178842	-0.520787643	2.258775512	-0.000151760	0.000120178	-0.000110152	-0.000179411	0.000123062	0.000151569
0.026000000	0.417125963	0.132842084	-0.454290955	-2.190179029	-0.520787515	2.258775669	-0.000164032	0.000129896	-0.000119060	-0.000193920	0.000133014	0.000163826
