time_s	q1_rad	q2_rad	q3_rad	q4_rad	q5_rad	q6_rad	dq1_rad_s	dq2_rad_s	dq3_rad_s	dq4_rad_s	dq5_rad_s	dq6_rad_s
0.000000000	-0.032523687	0.554170217	0.460085226	-0.038299059	-1.014584428	-3.121364655	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000
0.001000000	-0.032523687	0.554170217	0.460085226	-0.038299058	-1.014584428	-3.121364655	0.000000889	-0.000000021	0.000000039	0.000001047	0.000000001	-0.000000553
0.002000000	-0.032523685	0.554170217	0.460085226	-0.038299056	-1.014584428	-3.121364656	0.000003554	-0.000000085	0.000000155	0.000004185	0.000000003	-0.000002212
0.003000000	-0.032523679	0.554170217	0.460085227	-0.038299049	-1.014584428	-3.121364660	0.000007989	-0.000000192	0.000000348	0.000009409	0.000000006	-0.000004973
0.004000000	-0.032523668	0.554170216	0.460085227	-0.038299036	-1.014584428	-3.121364666	0.000014192	-0.000000341	0.000000619	0.000016714	0.000000010	-0.000008833
0.005000000	-0.032523650	0.554170216	0.460085228	-0.038299015	-1.014584428	-3.121364678	0.000022156	-0.000000532	0.000000966	0.000026093	0.000000016	-0.000013791
0.006000000	-0.032523624	0.554170215	0.460085229	-0.038298983	-1.014584428	-3.121364694	0.000031878	-0.000000765	0.000001390	0.000037543	0.000000023	-0.000019842
0.007000000	-0.032523586	0.554170214	0.460085231	-0.038298939	-1.014584428	-3.121364718	0.000043352	-0.000001040	0.000001891	0.000051057	0.000000031	-0.000026985
0.008000000	-0.032523536	0.554170213	0.460085233	-0.038298881	-1.014584428	-3.121364749	0.000056576	-0.000001358	0.000002468	0.000066631	0.000000040	-0.000035216
0.009000000	-0.032523472	0.554170212	0.460085236	-0.038298805	-1.014584427	-3.121364789	0.000071544	-0.000001717	0.000003120	0.000084259	0.000000051	-0.000044532
0.010000000	-0.032523393	0.554170210	0.460085239	-0.038298711	-1.014584427	-3.121364838	0.000088252	-0.000002118	0.000003849	0.000103936	0.000000063	-0.000054932
0.011000000	-0.032523295	0.554170207	0.460085243	-0.038298597	-1.014584427	-3.121364899	0.000106695	-0.000002560	0.000004653	0.000125657	0.000000076	-0.000066412
0.012000000	-0.032523179	0.554170205	0.460085248	-0.038298459	-1.014584427	-3.121364971	0.000126869	-0.000003044	0.000005533	0.000149416	0.000000090	-0.000078969
0.013000000	-0.032523041	0.554170201	0.460085254	-0.038298297	-1.014584427	-3.121365057	0.000148770	-0.000003570	0.000006488	0.000175209	0.000000106	-0.000092601
0.014000000	-0.032522880	0.554170198	0.460085261	-0.038298108	-1.014584427	-3.121365157	0.000172393	-0.000004137	0.000007519	0.000203030	0.000000122	-0.000107305
0.015000000	-0.032522696	0.554170193	0.460085269	-0.038297890	-1.014584427	-3.121365272	0.000197733	-0.000004745	0.000008624	0.000232873	0.000000140	-0.000123078
0.016000000	-0.032522484	0.554170188	0.460085278	-0.038297642	-1.014584427	-3.121365403	0.000224786	-0.000005394	0.000009803	0.000264734	0.000000160	-0.000139917
0.017000000	-0.032522245	0.554170182	0.460085289	-0.038297360	-1.014584427	-3.121365552	0.000253548	-0.000006084	0.000011058	0.000298608	0.000000180	-0.000157820
0.018000000	-0.032521977	0.554170176	0.460085301	-0.038297044	-1.014584426	-3.121365719	0.000284014	-0.000006815	0.000012386	0.000334489	0.000000202	-0.000176783
0.019000000	-0.032521677	0.554170169	0.460085314	-0.038296691	-1.014584426	-3.121365906	0.000316180	-0.000007587	0.000013789	0.000372371	0.000000225	-0.000196805
0.020000000	-0.032521344	0.554170161	0.460085328	-0.038296299	-1.014584426	-3.121366113	0.000350042	-0.000008399	0.000015265	0.000412250	0.000000249	-0.000217882
0.021000000	-0.032520976	0.554170152	0.460085344	-0.038295865	-1.014584426	-3.121366342	0.000385594	-0.000009252	0.000016816	0.000454121	0.000000274	-0.000240011
0.022000000	-0.032520572	0.554170142	0.460085362	-0.038295390	-1.014584425	-3.121366594	0.000422833	-0.000010145	0.000018439	0.000497978	0.000000300	-0.000263190
0.023000000	-0.032520130	0.554170132	0.460085381	-0.038294869	-1.014584425	-3.121366869	0.000461753	-0.000011079	0.000020136	0.000543815	0.000000328	-0.000287416
0.024000000	-0.032519648	0.554170120	0.460085402	-0.038294301	-1.014584425	-3.121367169	0.000502352	-0.000012053	0.000021906	0.000591628	0.000000357	-0.000312687
0.025000000	-0.032519125	0.554170108	0.460085424	-0.038293685	-1.014584424	-3.121367495	0.000544623	-0.000013067	0.000023749	0.000641412	0.000000387	-0.000338998
0.026000000	-0.032518558	0.554170094	0.460085449	-0.038293018	-1.014584424	-3.121367847	0.000588563	-0.000014120	0.000025664	0.000693161	0.000000418	-0.000366348
0.027000000	-0.032517947	0.554170080	0.460085476	-0.038292298	-1.014584424	-3.121368228	0.000634167	-0.000015214	0.000027652	0.000746870	0.000000450	-0.000394734
0.028000000	-0.032517289	0.554170064	0.460085504	-0.038291523	-1.014584423	-3.121368637	0.000681431	-0.000016348	0.000029712	0.000802534	0.000000484	-0.000424154
0.029000000	-0.032516583	0.554170047	0.460085535	-0.038290692	-1.014584423	-3.121369076	0.000730351	-0.000017521	0.000031844	0.000860147	0.000000519	-0.000454603
0.030000000	-0.032515828	0.554170029	0.460085568	-0.038289802	-1.014584422	-3.121369547	0.000780921	-0.000018733	0.000034047	0.000919704	0.000000555	-0.000486080
0.031000000	-0.032515021	0.554170010	0.460085603	-0.038288852	-1.014584422	-3.121370049	0.000833137	-0.000019985	0.000036323	0.000981201	0.000000592	-0.000518582
0.032000000	-0.032514161	0.554169989	0.460085640	-0.038287839	-1.014584421	-3.121370584	0.000886996	-0.000021276	0.000038669	0.001044631	0.000000630	-0.000552106
0.033000000	-0.032513246	0.554169967	0.460085680	-0.038286762	-1.014584420	-3.121371154	0.000942492	-0.000022606	0.000041087	0.001109989	0.000000669	-0.000586650
0.034000000	-0.032512275	0.554169944	0.460085722	-0.038285619	-1.014584420	-3.121371758	0.000999621	-0.000023975	0.000043576	0.001177272	0.000000710	-0.000622209
0.035000000	-0.032511247	0.554169920	0.460085766	-0.038284407	-1.014584419	-3.121372398	0.001058379	-0.000025383	0.000046135	0.001246472	0.000000751	-0.000658783
0.036000000	-0.032510158	0.554169894	0.460085814	-0.038283125	-1.014584418	-3.121373076	0.001118761	-0.000026830	0.000048764	0.001317585	0.000000794	-0.000696367
0.037000000	-0.032509008	0.554169866	0.460085864	-0.038281771	-1.014584417	-3.121373791	0.001180763	-0.000028316	0.000051464	0.001390605	0.000000838	-0.000734960
0.038000000	-0.032507796	0.554169837	0.460085916	-0.038280343	-1.014584416	-3.121374546	0.001244380	-0.000029840	0.000054234	0.001465528	0.000000883	-0.000774558
0.039000000	-0.032506519	0.554169807	0.460085972	-0.038278839	-1.014584416	-3.121375341	0.001309608	-0.000031402	0.000057073	0.001542348	0.000000929	-0.000815158
0.040000000	-0.032505176	0.554169775	0.460086030	-0.038277258	-1.014584415	-3.121376177	0.001376443	-0.000033002	0.000059982	0.001621060	0.000000977	-0.000856759
0.041000000	-0.032503766	0.554169741	0.460086091	-0.038275596	-1.014584414	-3.121377055	0.001444879	-0.000034641	0.000062961	0.001701659	0.000001025	-0.000899357
0.042000000	-0.032502286	0.554169705	0.460086156	-0.038273854	-1.014584413	-3.121377976	0.001514913	-0.000036318	0.000066008	0.001784139	0.000001075	-0.000942949
0.043000000	-0.032500735	0.554169668	0.460086223	-0.038272027	-1.014584411	-3.121378941	0.001586540	-0.000038032	0.000069124	0.001868496	0.000001126	-0.000987532
0.044000000	-0.032499112	0.554169630	0.460086293	-0.038270116	-1.014584410	-3.121379951	0.001659756	-0.000039784	0.000072309	0.001954723	0.000001177	-0.001033105
0.045000000	-0.032497415	0.554169589	0.460086367	-0.038268117	-1.014584409	-3.121381008	0.001734556	-0.000041574	0.000075561	0.002042816	0.000001230	-0.001079664
0.046000000	-0.032495642	0.554169547	0.460086444	-0.038266030	-1.014584408	-3.121382111	0.001810935	-0.000043401	0.000078882	0.002132770	0.000001284	-0.001127205
0.047000000	-0.032493793	0.554169503	0.460086524	-0.038263851	-1.014584407	-3.121383262	0.001888890	-0.000045265	0.000082271	0.002224579	0.000001339	-0.001175728
0.048000000	-0.032491864	0.554169456	0.460086608	-0.038261580	-1.014584405	-3.121384463	0.001968416	-0.000047167	0.000085727	0.002318238	0.000001396	-0.001225228
0.049000000	-0.032489855	0.554169408	0.460086695	-0.038259214	-1.014584404	-3.121385713	0.002049509	-0.000049105	0.000089251	0.002413742	0.000001453	-0.001275703
0.050000000	-0.032487764	0.554169359	0.460086786	-0.038256751	-1.014584402	-3.121387015	0.002132163	-0.000051081	0.000092841	0.002511085	0.000001511	-0.001327150
0.051000000	-0.032485590	0.554169307	0.460086881	-0.038254191	-1.014584401	-3.121388368	0.002216375	-0.000053093	0.000096498	0.002610263	0.000001571	-0.001379567
