time_s	q1_rad	q2_rad	q3_rad	q4_rad	q5_rad	q6_rad	dq1_rad_s	dq2_rad_s	dq3_rad_s	dq4_rad_s	dq5_rad_s	dq6_rad_s
0.000000000	-0.032523687	0.554170217	0.460085226	-0.038299059	-1.014584428	-3.121364655	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000
0.001000000	-0.032523687	0.554170217	0.460085226	-0.038299058	-1.014584428	-3.121364655	0.000000285	-0.000000007	0.000000012	0.000000335	0.000000000	-0.000000177
0.002000000	-0.032523687	0.554170217	0.460085226	-0.038299058	-1.014584428	-3.121364655	0.000001138	-0.000000027	0.000000050	0.000001340	0.000000001	-0.000000708
0.003000000	-0.032523685	0.554170217	0.460085226	-0.038299056	-1.014584428	-3.121364656	0.000002558	-0.000000061	0.000000111	0.000003012	0.000000002	-0.000001592
0.004000000	-0.032523681	0.554170217	0.460085227	-0.038299051	-1.014584428	-3.121364658	0.000004544	-0.000000109	0.000000198	0.000005352	0.000000003	-0.000002829
0.005000000	-0.032523676	0.554170217	0.460085227	-0.038299045	-1.014584428	-3.121364662	0.000007096	-0.000000170	0.000000309	0.000008357	0.000000005	-0.000004417
0.006000000	-0.032523667	0.554170216	0.460085227	-0.038299035	-1.014584428	-3.121364667	0.000010211	-0.000000245	0.000000444	0.000012026	0.000000007	-0.000006356
0.007000000	-0.032523655	0.554170216	0.460085228	-0.038299020	-1.014584428	-3.121364675	0.000013889	-0.000000333	0.000000604	0.000016357	0.000000010	-0.000008645
0.008000000	-0.032523639	0.554170216	0.460085228	-0.038299002	-1.014584428	-3.121364685	0.000018129	-0.000000434	0.000000789	0.000021351	0.000000013	-0.000011284
0.009000000	-0.032523618	0.554170215	0.460085229	-0.038298977	-1.014584428	-3.121364698	0.000022929	-0.000000549	0.000000998	0.000027004	0.000000016	-0.000014272
0.010000000	-0.032523593	0.554170215	0.460085230	-0.038298947	-1.014584428	-3.121364714	0.000028288	-0.000000677	0.000001231	0.000033315	0.000000020	-0.000017608
0.011000000	-0.032523562	0.554170214	0.460085232	-0.038298911	-1.014584428	-3.121364733	0.000034206	-0.000000819	0.000001488	0.000040285	0.000000024	-0.000021291
0.012000000	-0.032523524	0.554170213	0.460085233	-0.038298867	-1.014584428	-3.121364756	0.000040680	-0.000000974	0.000001770	0.000047910	0.000000029	-0.000025321
0.013000000	-0.032523480	0.554170212	0.460085235	-0.038298815	-1.014584427	-3.121364784	0.000047711	-0.000001142	0.000002076	0.000056190	0.000000034	-0.000029697
0.014000000	-0.032523429	0.554170211	0.460085237	-0.038298754	-1.014584427	-3.121364816	0.000055296	-0.000001324	0.000002406	0.000065123	0.000000039	-0.000034419
