time_s	q1_rad	q2_rad	q3_rad	q4_rad	q5_rad	q6_rad	dq1_rad_s	dq2_rad_s	dq3_rad_s	dq4_rad_s	dq5_rad_s	dq6_rad_s
0.000000000	-0.663075963	0.293885229	-1.975378837	-0.882000819	0.922848625	0.632581649	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000
0.001000000	-0.663075963	0.293885229	-1.975378837	-0.882000819	0.922848625	0.632581649	0.000000201	-0.000000126	-0.000000274	0.000000290	-0.000000025	-0.000000266
0.002000000	-0.663075962	0.293885229	-1.975378837	-0.882000818	0.922848625	0.632581648	0.000000805	-0.000000504	-0.000001094	0.000001158	-0.000000101	-0.000001062
0.003000000	-0.663075961	0.293885228	-1.975378839	-0.882000817	0.922848625	0.632581647	0.000001810	-0.000001134	-0.000002459	0.000002605	-0.000000228	-0.000002388
0.004000000	-0.663075959	0.293885227	-1.975378842	-0.882000813	0.922848624	0.632581644	0.000003215	-0.000002014	-0.000004369	0.000004628	-0.000000405	-0.000004242
0.005000000	-0.663075954	0.293885224	-1.975378848	-0.882000807	0.922848624	0.632581638	0.000005020	-0.000003146	-0.000006822	0.000007226	-0.000000632	-0.000006624
0.006000000	-0.663075948	0.293885220	-1.975378856	-0.882000798	0.922848623	0.632581630	0.000007224	-0.000004527	-0.000009817	0.000010398	-0.000000909	-0.000009532
0.007000000	-0.663075940	0.293885215	-1.975378868	-0.882000786	0.922848622	0.632581619	0.000009826	-0.000006157	-0.000013353	0.000014143	-0.000001237	-0.000012966
0.008000000	-0.663075929	0.293885208	-1.975378883	-0.882000770	0.922848621	0.632581604	0.000012825	-0.000008036	-0.000017428	0.000018461	-0.000001614	-0.000016923
0.009000000	-0.663075914	0.293885199	-1.975378903	-0.882000749	0.922848619	0.632581585	0.000016221	-0.000010164	-0.000022043	0.000023349	-0.000002041	-0.000021404
0.010000000	-0.663075896	0.293885187	-1.975378927	-0.882000723	0.922848616	0.632581561	0.000020012	-0.000012540	-0.000027195	0.000028806	-0.000002518	-0.000026407
0.011000000	-0.663075874	0.293885174	-1.975378957	-0.882000691	0.922848614	0.632581532	0.000024198	-0.000015163	-0.000032884	0.000034832	-0.000003045	-0.000031931
0.012000000	-0.663075847	0.293885157	-1.975378993	-0.882000653	0.922848610	0.632581497	0.000028779	-0.000018033	-0.000039109	0.000041425	-0.000003622	-0.000037976
0.013000000	-0.663075816	0.293885137	-1.975379036	-0.882000608	0.922848606	0.632581456	0.000033752	-0.000021150	-0.000045868	0.000048584	-0.000004248	-0.000044539
0.014000000	-0.663075780	0.293885115	-1.975379085	-0.882000556	0.922848602	0.632581408	0.000039118	-0.000024512	-0.000053160	0.000056308	-0.000004923	-0.000051620
0.015000000	-0.663075738	0.293885088	-1.975379142	-0.882000495	0.922848597	0.632581352	0.000044876	-0.000028120	-0.000060984	0.000064596	-0.000005648	-0.000059217
0.016000000	-0.663075690	0.293885058	-1.975379207	-0.882000426	0.922848591	0.632581289	0.000051024	-0.000031973	-0.000069340	0.000073447	-0.000006421	-0.000067331
