time_s	q1_rad	q2_rad	q3_rad	q4_rad	q5_rad	q6_rad	dq1_rad_s	dq2_rad_s	dq3_rad_s	dq4_rad_s	dq5_rad_s	dq6_rad_s
0.000000000	-0.663075963	0.293885229	-1.975378837	-0.882000819	0.922848625	0.632581649	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000
0.001000000	-0.663075963	0.293885229	-1.975378837	-0.882000819	0.922848625	0.632581649	0.000000101	-0.000000063	-0.000000137	0.000000145	-0.000000013	-0.000000133
0.002000000	-0.663075963	0.293885229	-1.975378837	-0.882000819	0.922848625	0.632581649	0.000000402	-0.000000252	-0.000000547	0.000000579	-0.000000051	-0.000000531
0.003000000	-0.663075962	0.293885229	-1.975378838	-0.882000818	0.922848625	0.632581648	0.000000905	-0.000000567	-0.000001230	0.000001302	-0.000000114	-0.000001194
0.004000000	-0.663075961	0.293885228	-1.975378840	-0.882000816	0.922848625	0.632581646	0.000001607	-0.000001007	-0.000002184	0.000002314	-0.000000202	-0.000002121
0.005000000	-0.663075959	0.293885227	-1.975378842	-0.882000813	0.922848624	0.632581644	0.000002510	-0.000001573	-0.000003411	0.000003613	-0.000000316	-0.000003312
0.006000000	-0.663075956	0.293885225	-1.975378846	-0.882000809	0.922848624	0.632581640	0.000003612	-0.000002263	-0.000004908	0.000005199	-0.000000454	-0.000004766
0.007000000	-0.663075951	0.293885222	-1.975378852	-0.882000803	0.922848623	0.632581634	0.000004913	-0.000003078	-0.000006676	0.000007072	-0.000000618	-0.000006483
0.008000000	-0.663075946	0.293885219	-1.975378860	-0.882000795	0.922848623	0.632581627	0.000006413	-0.000004018	-0.000008714	0.000009231	-0.000000807	-0.000008462
0.009000000	-0.663075938	0.293885214	-1.975378870	-0.882000784	0.922848622	0.632581617	0.000008111	-0.000005082	-0.000011021	0.000011675	-0.000001021	-0.000010702
0.010000000	-0.663075929	0.293885208	-1.975378882	-0.882000771	0.922848621	0.632581605	0.000010006	-0.000006270	-0.000013597	0.000014404	-0.000001259	-0.000013204
0.011000000	-0.663075918	0.293885201	-1.975378897	-0.882000755	0.922848619	0.632581591	0.000012100	-0.000007581	-0.000016442	0.000017417	-0.000001522	-0.000015966
0.012000000	-0.663075905	0.293885193	-1.975378915	-0.882000736	0.922848618	0.632581573	0.000014390	-0.000009016	-0.000019554	0.000020713	-0.000001811	-0.000018988
0.013000000	-0.663075890	0.293885183	-1.975378936	-0.882000714	0.922848616	0.632581552	0.000016877	-0.000010574	-0.000022933	0.000024293	-0.000002124	-0.000022270
0.014000000	-0.663075871	0.293885172	-1.975378961	-0.882000688	0.922848613	0.632581528	0.000019560	-0.000012255	-0.000026579	0.000028155	-0.000002461	-0.000025810
0.015000000	-0.663075850	0.293885159	-1.975378989	-0.882000657	0.922848611	0.632581501	0.000022439	-0.000014059	-0.000030491	0.000032299	-0.000002823	-0.000029609
0.016000000	-0.663075826	0.293885144	-1.975379022	-0.882000623	0.922848608	0.632581469	0.000025513	-0.000015986	-0.000034669	0.000036725	-0.000003210	-0.000033666
0.017000000	-0.663075799	0.293885127	-1.975379059	-0.882000584	0.922848604	0.632581433	0.000028783	-0.000018034	-0.000039111	0.000041431	-0.000003622	-0.000037980
0.018000000	-0.663075769	0.293885108	-1.975379100	-0.882000540	0.922848600	0.632581393	0.000032247	-0.000020204	-0.000043818	0.000046417	-0.000004057	-0.000042551
0.019000000	-0.663075735	0.293885086	-1.975379147	-0.882000491	0.922848596	0.632581348	0.000035905	-0.000022496	-0.000048789	0.000051683	-0.000004518	-0.000047378
