time_s	q1_rad	q2_rad	q3_rad	q4_rad	q5_rad	q6_rad
0.000000000	-0.563240535	0.366789142	-1.478928536	-1.164781342	0.620174944	1.084781928
0.001000000	-0.563240482	0.366789093	-1.478928625	-1.164781248	0.620174913	1.084781829
0.002000000	-0.563240317	0.366788940	-1.478928897	-1.164780961	0.620174815	1.084781532
0.003000000	-0.563240043	0.366788686	-1.478929351	-1.164780485	0.620174651	1.084781038
0.004000000	-0.563239659	0.366788330	-1.478929985	-1.164779817	0.620174421	1.084780346
0.005000000	-0.563239165	0.366787872	-1.478930802	-1.164778959	0.620174126	1.084779456
0.006000000	-0.563238561	0.366787313	-1.478931799	-1.164777910	0.620173765	1.084778369
0.007000000	-0.563237848	0.366786652	-1.478932978	-1.164776671	0.620173339	1.084777084
0.008000000	-0.563237025	0.366785889	-1.478934339	-1.164775241	0.620172847	1.084775601
0.009000000	-0.563236092	0.366785024	-1.478935881	-1.164773620	0.620172290	1.084773920
0.010000000	-0.563235049	0.366784058	-1.478937604	-1.164771808	0.620171667	1.084772042
0.011000000	-0.563233897	0.366782989	-1.478939509	-1.164769806	0.620170978	1.084769966
0.012000000	-0.563232634	0.366781820	-1.478941595	-1.164767613	0.620170224	1.084767692
0.013000000	-0.563231262	0.366780548	-1.478943862	-1.164765229	0.620169404	1.084765220
0.014000000	-0.563229781	0.366779175	-1.478946311	-1.164762654	0.620168519	1.084762551
0.015000000	-0.563228189	0.366777700	-1.478948941	-1.164759889	0.620167568	1.084759684
0.016000000	-0.563226488	0.366776123	-1.478951752	-1.164756933	0.620166551	1.084756619
0.017000000	-0.563224677	0.366774445	-1.478954745	-1.164753787	0.620165469	1.084753357
0.018000000	-0.563222756	0.366772665	-1.478957920	-1.164750449	0.620164322	1.084749897
0.019000000	-0.563220726	0.366770783	-1.478961275	-1.164746921	0.620163108	1.084746239
0.020000000	-0.563218585	0.366768799	-1.478964812	-1.164743203	0.620161830	1.084742383
0.021000000	-0.563216335	0.366766714	-1.478968531	-1.164739293	0.620160485	1.084738330
0.022000000	-0.563213976	0.366764527	-1.478972430	-1.164735193	0.620159075	1.084734078
0.023000000	-0.563211506	0.366762238	-1.478976512	-1.164730902	0.620157600	1.084729629
0.024000000	-0.563208927	0.366759848	-1.478980774	-1.164726420	0.620156059	1.084724983
0.025000000	-0.563206237	0.366757356	-1.478985218	-1.164721748	0.620154452	1.084720138
0.026000000	-0.563203439	0.366754762	-1.478989843	-1.164716885	0.620152780	1.084715096
0.027000000	-0.563200530	0.366752067	-1.478994650	-1.164711831	0.620151042	1.084709856
0.028000000	-0.563197511	0.366749270	-1.478999638	-1.164706586	0.620149238	1.084704418
0.029000000	-0.563194383	0.366746371	-1.479004807	-1.164701151	0.620147370	1.084698783
0.030000000	-0.563191145	0.366743370	-1.479010158	-1.164695525	0.620145435	1.084692950
0.031000000	-0.563187798	0.366740268	-1.479015690	-1.164689708	0.620143435	1.084686919
0.032000000	-0.563184340	0.366737064	-1.479021403	-1.164683700	0.620141369	1.084680690
0.033000000	-0.563180773	0.366733759	-1.479027297	-1.164677501	0.620139238	1.084674263
0.034000000	-0.563177096	0.366730351	-1.479033373	-1.164671112	0.620137041	1.084667639
0.035000000	-0.563173309	0.366726843	-1.479039631	-1.164664532	0.620134779	1.084660817
0.036000000	-0.563169412	0.366723232	-1.479046069	-1.164657761	0.620132451	1.084653797
0.037000000	-0.563165406	0.366719520	-1.479052689	-1.164650800	0.620130057	1.084646579
0.038000000	-0.563161290	0.366715706	-1.479059490	-1.164643647	0.620127598	1.084639164
0.039000000	-0.563157064	0.366711790	-1.479066473	-1.164636304	0.620125074	1.084631551
0.040000000	-0.563152728	0.366707773	-1.479073637	-1.164628770	0.620122484	1.084623740
0.041000000	-0.563148282	0.366703654	-1.479080982	-1.164621045	0.620119828	1.084615731
0.042000000	-0.563143727	0.366699434	-1.479088508	-1.164613130	0.620117107	1.084607524
0.043000000	-0.563139062	0.366695112	-1.479096216	-1.164605023	0.620114320	1.084599120
